	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale
log-spl3-percpmu.mapjitter.klw	0	-4143.10073225214	215.09763765911566	0.0	0.16232053734081361	46.793022690482594	0.0	True	log
log-spl4-percpmu.mapjitter.klw	1	-4145.406114109311	234.52734947017734	2.3053818571710316	0.1775898496175834	46.825454406008156	5.59746147152931	True	log
log-cspl3-percpmu.mapjitter.klw	2	-4146.296909974761	221.1341704878805	3.196177722621364	0.05993076306353934	46.92647548071521	3.525063448638768	True	log
log-power-percmempmu.mapjitter.klw	3	-4148.088123198904	192.58133437826473	4.987390946764114	0.08789169516101075	46.81071476686548	5.733224289115275	False	log
log-power-percpmu.mapjitter.klw	4	-4148.098182928399	188.19929001451737	4.997450676259923	0.0	46.79492998835071	5.577493502371522	False	log
log-power+weber-percpmu.mapjitter.klw	5	-4149.692636832404	185.79350198248903	6.5919045802643215	0.032355264757279616	46.85968678044166	6.064968490169484	False	log
log-power+weber-percmempmu.mapjitter.klw	6	-4150.35834198115	191.31474304808626	7.257609729011119	0.0	46.864671107112315	6.18614674708328	False	log
log-cspl5-percpmu.mapjitter.klw	7	-4152.971273986766	248.35776795999527	9.870541734626409	0.2651039458645383	46.707114266402506	8.176068220673322	True	log
log-power-percmem.mapjitter.klw	8	-4153.918067912235	183.24193834794596	10.817335660095384	0.0	46.73773856339878	6.956160103070372	False	log
log-power+weber-perc.mapjitter.klw	9	-4155.030877091852	175.04511064818416	11.930144839712204	0.19879823044928566	46.77516625586692	7.297142899049378	False	log
log-power-perc.mapjitter.klw	10	-4155.192842431699	177.48640030773277	12.092110179559498	0.0	46.73352335666049	6.914323680310535	False	log
log-power+weber-percmem.mapjitter.klw	11	-4156.109407603544	182.14167751247396	13.008675351404385	0.0	46.77289759426398	7.319016477128509	False	log
log-spl5-percpmu.mapjitter.klw	12	-4158.095600315821	239.43739520148938	14.99486806368046	0.0	46.83299304458131	6.5422661743867225	True	log
log-spl6-percpmu.mapjitter.klw	13	-4165.079805185672	247.80788119546924	21.979072933532244	0.0	46.478676162891624	7.948070827259008	True	log
log-cspl7-percpmu.mapjitter.klw	14	-4170.954656366997	260.69077968614783	27.853924114857872	0.008109127698012315	46.34002312295023	10.10045042185877	True	log
log-power-spmu.mapjitter.klw	15	-4173.812205611209	170.03322706903964	30.71147335906952	0.0	46.986319483124895	8.640299177949522	True	log
log-spl7-percpmu.mapjitter.klw	16	-4174.094313437505	259.48030071844505	30.99358118536481	0.0	46.45290157455283	8.710481659436226	True	log
log-power-mem.mapjitter.klw	17	-4194.9872359960655	167.53763591728966	51.886503743925374	0.007900586094733267	46.68603731781701	11.475396737441352	True	log
log-power+weber-null.mapjitter.klw	18	-4259.045808196938	136.5268528012739	115.94507594479848	0.0	46.31207086907513	14.545808408304817	False	log
log-power-null.klw	19	-4259.4871136634265	138.50479636001546	116.38638141128783	0.0	46.28762994824607	14.386102885874669	False	log
