order	ratio	n_safe	cause_mean	cause_lo	cause_hi	p_cause_below1	effect_mean	effect_lo	effect_hi	p_effect_below0	n_draws
Risky first	1.0	7.0	1.053944965507943	1.011991853244091	1.0981340008670417	0.0125	0.03891092518046112	0.008380090749878043	0.07571951205510648	0.025	80
Risky first	1.0	8.4	1.041145848928783	1.0023075702124606	1.0772273907261958	0.025	0.03156672095709197	0.002386191932524351	0.0664092303847476	0.025	80
Risky first	1.0	9.8	1.0318243413531853	1.0008453168875024	1.0624700490454022	0.0125	0.024463346405732455	-0.001582191017933549	0.05260987735420147	0.0375	80
Risky first	1.0	11.2	1.0256118927725821	1.0015775776627813	1.0507190442342573	0.025	0.018354459602327546	-0.0005137787040755011	0.04089066429532972	0.0375	80
Risky first	1.0	12.6	1.021688054711753	1.000970470016986	1.0445160157168023	0.0125	0.013623634757062363	-0.0038016959245630077	0.03386693102388753	0.1125	80
Risky first	1.0	14.0	1.0192662130301795	1.0003791816870593	1.0403444184065953	0.025	0.010171219953816679	-0.006128060277366246	0.02966275060330562	0.1875	80
Risky first	1.0	15.399999999999999	1.017767173479406	0.998219903557558	1.0397306752227355	0.05	0.007758850698251639	-0.007453256876453935	0.025665022972459296	0.2375	80
Risky first	1.0	16.799999999999997	1.016811780699841	0.9956428294647133	1.0390875003723596	0.075	0.006158883285837657	-0.008009639165652713	0.02298384891274854	0.3125	80
Risky first	1.0	18.2	1.0161675216046453	0.9944148441574141	1.0385531204968803	0.1	0.00518036638588011	-0.008533056991608251	0.022620813927216984	0.3125	80
Risky first	1.0	19.6	1.0157008855732372	0.9903017234534303	1.0388463193247555	0.0875	0.004666250813391828	-0.009644624097995493	0.019879951704383312	0.325	80
Risky first	1.0	21.0	1.015344729468059	0.9922643747274513	1.038364590727889	0.1	0.004488992792357245	-0.01123572299998788	0.018892402148786687	0.3375	80
Risky first	1.0	22.4	1.0150776745847976	0.9901213896909954	1.035880798561809	0.1	0.004547786304163703	-0.01261949993211112	0.018453835812375426	0.3375	80
Risky first	1.0	23.799999999999997	1.0149111458857518	0.9881589889222288	1.0345124075320264	0.075	0.0047669434617824665	-0.013691919364975371	0.0190895853625079	0.3	80
Risky first	1.0	25.2	1.0148712041381684	0.9864193187634182	1.033301771709026	0.075	0.005099302456288463	-0.014389502513162488	0.020071788477668762	0.25	80
Risky first	1.0	26.599999999999998	1.0149585459338013	0.9858665151904591	1.035043587741075	0.075	0.005532761964676979	-0.014682703926351542	0.022312502331450015	0.2125	80
Risky first	1.0	28.0	1.0151652002104554	0.9865543775152859	1.0357137475436757	0.0875	0.006063550851769978	-0.014558805651001335	0.023574442191505788	0.2125	80
Risky first	1.2	7.0	1.0349123991331497	0.9973701222319354	1.0681302832027908	0.0375	0.05425124541358155	6.621074459807132e-05	0.10121502306303663	0.025	80
Risky first	1.2	8.4	1.0265377299280436	0.9958960715337113	1.0554797064328387	0.05	0.04291062086187665	-0.004676699112373251	0.0881460629861583	0.0375	80
Risky first	1.2	9.8	1.0213381005279527	0.9983539206638088	1.0454974340944985	0.075	0.03373959776298505	-0.002355768156882885	0.0752604451228632	0.0625	80
Risky first	1.2	11.2	1.0180957371023296	1.0006651144685914	1.038779021550533	0.0125	0.026729668946822226	-0.0011437230107703763	0.059937945208641284	0.075	80
Risky first	1.2	12.6	1.0159034357041352	0.9991352218024065	1.0343436862236208	0.05	0.021161664894431147	-0.006336275241901142	0.05202401251845609	0.1	80
