subject	order	stake2	stimulation_condition	slope	rnp	n_trials
25	Risky first	0	vertex	6.208929578404521	0.666262418388941	30
25	Risky first	1	ips	2.13382286165381	0.7105676555952364	29
25	Risky first	1	vertex	3.73610861305898	0.8500813098399255	30
25	Risky second	0	ips	3.8577421363338393	0.8804944874319164	30
25	Risky second	0	vertex	6.894351521188975	0.6951886260431814	30
25	Risky second	1	ips	5.685016174026963	0.7918952340012001	30
25	Risky second	1	vertex	10.49179798859711	0.7406604752550527	30
26	Risky first	0	ips	3.413956164980185	0.6709516514739808	30
26	Risky first	0	vertex	4.962772923463733	0.6449135803856756	30
26	Risky first	1	ips	3.946186359657501	0.6698468343951786	30
26	Risky first	1	vertex	4.251419776010297	0.6804149163628053	30
26	Risky second	0	ips	5.389278324182437	0.7575570450969354	30
26	Risky second	0	vertex	1.6795171483065925	0.639303232802784	30
26	Risky second	1	ips	4.649635899384637	1.094378618666614	30
26	Risky second	1	vertex	4.087940910244452	0.7668653815175995	30
29	Risky first	0	ips	1.5960001899235479	0.5252677485509459	30
29	Risky first	0	vertex	3.1590513635823756	0.40494166612923266	30
29	Risky first	1	ips	3.053709923531091	0.3424119197994292	30
29	Risky first	1	vertex	4.351662201378389	0.24284205057384242	29
29	Risky second	0	ips	3.715513022065708	0.6814610104258892	29
29	Risky second	0	vertex	1.647875909193227	0.40986358615870966	30
29	Risky second	1	ips	1.614869346292471	0.3813383246900467	30
29	Risky second	1	vertex	2.1914702991304433	0.24752321369835142	30
30	Risky first	0	ips	2.0220902161667773	0.591481865015991	32
30	Risky first	0	vertex	2.4818218169286714	0.4858152433511367	32
30	Risky first	1	ips	0.9582652805971795	2.860310423587688	28
30	Risky first	1	vertex	2.7024634887764214	0.37742452745851435	28
30	Risky second	0	ips	1.951741960137708	0.8035847078986912	32
30	Risky second	0	vertex	1.3416087062069122	0.8254396218602258	31
30	Risky second	1	vertex	1.531612802556457	0.6139667816612011	28
31	Risky first	0	ips	5.729154393642334	0.5571098667500038	32
31	Risky first	0	vertex	1.4204078296117473	0.6062645091291758	32
31	Risky first	1	ips	6.008339520912984	0.5352778214945326	28
31	Risky first	1	vertex	2.8765714374440727	0.5273772102599491	28
31	Risky second	0	ips	0.9815333729821775	0.8144533708035037	31
31	Risky second	0	vertex	0.8984453048188825	0.6087292078781389	32
31	Risky second	1	vertex	3.34549726693587	0.6252962399154627	28
34	Risky first	0	ips	1.1835868989070182	0.6062336485548021	30
34	Risky first	0	vertex	4.615861249449905	0.44912446383926635	30
34	Risky first	1	ips	3.331250110705182	0.27253484090687763	30
34	Risky first	1	vertex	5.733620548421224	0.32693396142781667	30
34	Risky second	0	ips	3.5543955960294067	0.6669234045175829	30
34	Risky second	0	vertex	4.685322195195413	0.4893613394855998	30
34	Risky second	1	ips	1.9041792581500465	0.418002080895245	30
34	Risky second	1	vertex	2.0171929043439922	0.43505605692610566	30
35	Risky first	1	vertex	10.0671667432666	0.48584108626683886	28
35	Risky second	0	ips	1.494592745106534	0.11038475133785246	32
35	Risky second	0	vertex	2.475115235859361	0.25623529562063385	32
35	Risky second	1	ips	2.803983315389079	0.44608385643546455	28
35	Risky second	1	vertex	1.018962448726302	1.281152912135349	28
36	Risky first	0	ips	4.8504557537334065	0.5257142800208165	30
36	Risky first	0	vertex	3.4532990321702313	0.5677073387721463	30
36	Risky first	1	ips	4.590335410814628	0.45853124792901623	30
36	Risky first	1	vertex	0.8807704407687524	0.5480134261529997	30
36	Risky second	0	ips	1.7603678424925655	0.4325208728295278	30
