label	order	role	position	stimulation_condition	payoff	objective_ev	lo	perceived_ev	hi
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	6.999999999999999	3.8499999999999996	4.553649352263519	4.860940946541456	5.245620260187835
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	7.515760138376834	4.133668076107259	4.839496246549285	5.13975906068433	5.51689084583952
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	8.069521493944878	4.438236821669683	5.138417547448103	5.434777971614608	5.805396926566343
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	8.664083997137997	4.765246198425898	5.453503142721985	5.746675507407562	6.105269895488597
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	9.302453877319767	5.116349632525872	5.78505671116395	6.077766344046924	6.426099251489561
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	9.987858862892702	5.493322374590987	6.133908503281935	6.425681613591442	6.775418706249875
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	10.723764501351818	5.8980704757435	6.501843794371484	6.793328565357468	7.140577962532715
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	11.513891681800072	6.33264042499004	6.887278881916409	7.183414618271414	7.524157464762968
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	12.36223544852308	6.799229496687695	7.291536863446154	7.59285616015273	7.938683875195487
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	13.273085200748401	7.300196860411621	7.715138996135941	8.024223436144258	8.371451979921561
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	14.25104638072347	7.838075509397909	8.160470475370403	8.480501336418984	8.831586616163554
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	15.301063759771553	8.415585067874355	8.625585674290175	8.961258040609838	9.319825532866467
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	16.428446440064768	9.035645542035622	9.106830498787552	9.469306984172977	9.83494532896547
log-power-n1n2.mapjitter.klw	Risky first	risky	1	ips	17.638894698528226	9.701392084190525	9.615094148712162	10.001447376114367	10.381480631155338
