label	order	role	position	stimulation_condition	payoff	objective_ev	lo	perceived_ev	hi
log-power-n1n2	Risky first	risky	1	ips	6.999999999999999	3.8499999999999996	4.774432420202868	5.128231145401034	5.545194640713832
log-power-n1n2	Risky first	risky	1	ips	7.515760138376834	4.133668076107259	5.040310133703242	5.387515954943158	5.7942141110909064
log-power-n1n2	Risky first	risky	1	ips	8.069521493944878	4.438236821669683	5.319906230049157	5.659843587567151	6.052159389354555
log-power-n1n2	Risky first	risky	1	ips	8.664083997137997	4.765246198425898	5.618512818730567	5.948468290781989	6.3278089981566445
log-power-n1n2	Risky first	risky	1	ips	9.302453877319767	5.116349632525872	5.929967808941164	6.25334577783524	6.619861268464861
log-power-n1n2	Risky first	risky	1	ips	9.987858862892702	5.493322374590987	6.257755995511299	6.57535207189683	6.929404500102772
log-power-n1n2	Risky first	risky	1	ips	10.723764501351818	5.8980704757435	6.605942899015638	6.912208298241244	7.257863167687695
log-power-n1n2	Risky first	risky	1	ips	11.513891681800072	6.33264042499004	6.968837628370948	7.269993679581705	7.607224701135364
log-power-n1n2	Risky first	risky	1	ips	12.36223544852308	6.799229496687695	7.3461669128925955	7.6444044428050635	7.9765828092634035
log-power-n1n2	Risky first	risky	1	ips	13.273085200748401	7.300196860411621	7.741656236680857	8.040772339980318	8.372345745311712
log-power-n1n2	Risky first	risky	1	ips	14.25104638072347	7.838075509397909	8.152534385819239	8.461301285365447	8.794962012826218
log-power-n1n2	Risky first	risky	1	ips	15.301063759771553	8.415585067874355	8.58905536216796	8.903857901380146	9.250575699357217
log-power-n1n2	Risky first	risky	1	ips	16.428446440064768	9.035645542035622	9.043248816376538	9.36917634367862	9.721845696307799
log-power-n1n2	Risky first	risky	1	ips	17.638894698528226	9.701392084190525	9.519619652372578	9.858929343186427	10.221213484158943
log-power-n1n2	Risky first	risky	1	ips	18.93852880860355	10.416190844731954	10.014359708473545	10.375791296949256	10.754588918287826
log-power-n1n2	Risky first	risky	1	ips	20.33391998560055	11.183655992080302	10.537894538275028	10.925084691598995	11.311642633587526
log-power-n1n2	Risky first	risky	1	ips	21.832123612102944	12.00766798665662	11.090217889845295	11.503694392799714	11.905398611176402
log-power-n1n2	Risky first	risky	1	ips	23.440714911422706	12.89239320128249	11.669394347434553	12.11307091222765	12.533746707380525
log-power-n1n2	Risky first	risky	1	ips	25.16782724947517	13.842304987211344	12.28157755485426	12.75603864188598	13.194127212469011
log-power-n1n2	Risky first	risky	1	ips	27.0221932587371	14.862206292305407	12.920639523858757	13.434715252579096	13.899071723412481
log-power-n1n2	Risky first	risky	1	ips	29.01318899221878	15.95725394572033	13.608336703092213	14.148710167391467	14.643501687274716
log-power-n1n2	Risky first	risky	1	ips	31.150881330701633	17.132984731885898	14.318230651136709	14.897380067356828	15.431986199443976
log-power-n1n2	Risky first	risky	1	ips	33.44607888294205	18.395343385618126	15.063773620638486	15.69196465553047	16.268732846471963
log-power-n1n2	Risky first	risky	1	ips	35.910386636203285	19.750712649911808	15.84764567424459	16.52964986794759	17.13707050354795
log-power-n1n2	Risky first	risky	1	ips	38.55626463343953	21.205945548391746	16.670105778764754	17.404763416235763	18.0700943597585
log-power-n1n2	Risky first	risky	1	ips	41.397090973816184	22.7684000355989	17.53481993346645	18.338650208627293	19.064080153309547
log-power-n1n2	Risky first	risky	1	ips	44.44722945510957	24.445976200310266	18.46847598395875	19.320743360569026	20.121241331394568
log-power-n1n2	Risky first	risky	1	ips	47.722102200000165	26.247156210000092	19.425569979647374	20.357771274930414	21.224021525082946
log-power-n1n2	Risky first	risky	1	ips	51.23826763347237	28.181047198409804	20.419565102936453	21.452913343127996	22.37706919239072
log-power-n1n2	Risky first	risky	1	ips	55.01350420559078	30.25742731307493	21.47946033036004	22.608295224121584	23.60562592269829
log-power-n1n2	Risky first	risky	1	ips	59.0669002829722	32.48679515563471	22.59780793088638	23.82528737879008	24.93376634719024
log-power-n1n2	Risky first	risky	1	ips	63.4189506634631	34.88042286490471	23.765197677044906	25.115405401922047	26.35165374141515
log-power-n1n2	Risky first	risky	1	ips	68.0916602020204	37.450413111111224	24.97758062236315	26.465169741878213	27.84400985275151
log-power-n1n2	Risky first	risky	1	ips	73.10865507174931	40.209760289462125	26.243506936439466	27.898335412000343	29.44835338832216
log-power-n1n2	Risky first	risky	1	ips	78.49530222265639	43.17241622246102	27.569746077716363	29.410820838700815	31.13854643530064
log-power-n1n2	Risky first	risky	1	ips	84.27883764212618	46.3533607031694	28.968347051718094	31.003063277235704	32.95048450861711
log-power-n1n2	Risky first	risky	1	ips	90.48850406563211	49.768677236097666	30.407408052084214	32.70446330187858	34.82613476989125
log-power-n1n2	Risky first	risky	1	ips	97.15569883397539	53.43563435868647	31.962523863311684	34.48385056362969	36.83244942466767
