label	order	stake2	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	1	ips	0.30263214285714285	0.24165476190476193	0.3582142857142856	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	1	vertex	0.31834931972789116	0.26145663265306124	0.3725280612244898	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	2	ips	0.4088357142857143	0.3571190476190476	0.4667380952380951	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	2	vertex	0.42322857142857145	0.3618095238095238	0.4828809523809523	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	3	ips	0.5326744047619048	0.4676130952380953	0.594297619047619	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	3	vertex	0.5451077380952382	0.48401190476190475	0.611672619047619	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	4	ips	0.6849440476190475	0.6204642857142858	0.7504880952380951	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	4	vertex	0.6923392857142858	0.6271071428571429	0.7676309523809524	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	5	ips	0.7811607142857142	0.7142857142857143	0.8501785714285712	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	5	vertex	0.7920297619047619	0.72375	0.8501190476190474	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	6	ips	0.8651715686274509	0.8014705882352942	0.9191176470588235	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	0	6	vertex	0.872732843137255	0.8137254901960784	0.9240196078431373	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	1	ips	0.22471428571428573	0.16428571428571428	0.3	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	1	vertex	0.23564285714285715	0.17142857142857143	0.3	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	2	ips	0.30723214285714284	0.24285714285714285	0.37857142857142856	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	2	vertex	0.31331547619047617	0.24285714285714285	0.3905357142857142	0.30476190476190473	0.05180482760063736	1.8022419186652763	33.58759124087591
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	3	ips	0.41016071428571427	0.3357142857142857	0.4857142857142857	0.38571428571428573	0.0526032968808714	2.065714285714286	36.8
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	3	vertex	0.403470238095238	0.33089285714285716	0.4761904761904762	0.3761904761904762	0.06143432539876667	2.066546762589928	36.85251798561151
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	4	ips	0.5396607142857143	0.4690476190476191	0.6072023809523809	0.530952380952381	0.052492242355764794	2.3930900621118014	36.619565217391305
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	4	vertex	0.5262166666666667	0.46095238095238095	0.5929166666666666	0.5238095238095237	0.05650613988058596	2.381031746031746	36.43333333333333
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	5	ips	0.6457142857142858	0.5838095238095238	0.7019047619047619	0.68	0.05133511583357984	2.7493098688750863	38.84782608695652
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	5	vertex	0.626452380952381	0.5647380952380952	0.6895238095238095	0.6323809523809524	0.04907140920414363	2.7449175824175827	38.79326923076923
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	6	ips	0.7422755952380953	0.6785714285714286	0.793345238095238	0.7364285714285714	0.04340906670457449	3.2327847267939434	42.63824884792627
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	6	vertex	0.7148126700680273	0.658172619047619	0.7678001700680273	0.7498639455782312	0.05023970655415116	3.217314022383147	42.32258064516129
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	1	ips	0.29836666666666667	0.2414047619047619	0.3592916666666666	0.30523809523809525	0.041541950204390346	1.5253042921204358	13.849775784753364
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	1	vertex	0.27262202380952383	0.2195408163265306	0.3330229591836735	0.27840136054421766	0.04589016222073962	1.5253968253968255	13.828888888888889
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	2	ips	0.41382619047619046	0.3446904761904762	0.47714285714285715	0.46380952380952384	0.054599320212255296	1.7618598382749326	14.254716981132075
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	2	vertex	0.39005476190476185	0.3275952380952381	0.4552619047619047	0.31238095238095237	0.044345762127259235	1.7599730458221023	14.245283018867925
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	3	ips	0.5552053571428571	0.4892559523809524	0.6214880952380952	0.5988095238095238	0.046907321234332056	2.0345013477088947	15.660377358490566
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	3	vertex	0.5393119047619047	0.47735119047619046	0.6013273809523809	0.5071428571428571	0.03547257139436795	2.036530612244898	15.697619047619048
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	4	ips	0.6946571428571429	0.6242738095238096	0.7657380952380952	0.7547619047619047	0.04414120575023637	2.341717791411043	15.5920245398773
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	4	vertex	0.6831488095238094	0.6070833333333333	0.7500595238095238	0.6690476190476191	0.05242549672073599	2.330120481927711	15.55421686746988
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	5	ips	0.7946547619047618	0.7261904761904763	0.8572619047619046	0.7904761904761906	0.04762955066243214	2.7293121693121694	15.87037037037037
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	5	vertex	0.7870297619047619	0.7141666666666667	0.8571428571428571	0.7833333333333333	0.04130797993547017	2.7316176470588234	15.889705882352942
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	6	ips	0.8732720588235294	0.8088235294117647	0.9264705882352942	0.8602941176470589	0.038335430371496435	3.155555555555556	17.373015873015873
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	0	6	vertex	0.8698161764705883	0.8014705882352942	0.9191176470588235	0.8897058823529411	0.030208677951052126	3.155555555555556	17.373015873015873
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	1	ips	0.3221428571428572	0.24285714285714285	0.4001785714285713	0.35714285714285715	0.04945683361636229	1.6215437788018434	32.04032258064516
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	1	vertex	0.3304107142857143	0.25	0.40714285714285714	0.2785714285714286	0.056853257753332546	1.6215437788018434	32.04032258064516
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	2	ips	0.4279464285714286	0.34523809523809523	0.5051190476190472	0.5190476190476191	0.05238095238095238	1.8010277492291882	33.65467625899281
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	2	vertex	0.4325535714285715	0.35	0.5071428571428571	0.42142857142857143	0.05101020306102036	1.8003061224489796	33.607142857142854
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	3	ips	0.5414821428571428	0.45714285714285713	0.6287499999999998	0.5285714285714286	0.0604355936877744	2.065714285714286	36.8
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	3	vertex	0.5363214285714285	0.4642857142857143	0.6	0.5285714285714286	0.05202963418219711	2.065714285714286	36.8
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	4	ips	0.6648988095238095	0.5975595238095238	0.7333333333333334	0.6809523809523809	0.0388750713843296	2.3930900621118014	36.619565217391305
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	4	vertex	0.6467440476190477	0.5808333333333333	0.7214285714285714	0.6642857142857143	0.05164042370092127	2.3930900621118014	36.619565217391305
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	5	ips	0.7536928571428573	0.6990238095238096	0.8085952380952381	0.7561904761904762	0.04389469251453656	2.751127819548872	38.78947368421053
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	5	vertex	0.7204047619047619	0.6647619047619048	0.7761904761904762	0.7276190476190477	0.04373943973999714	2.743267259056733	38.770334928229666
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	6	ips	0.825505357142857	0.771375	0.8738154761904762	0.8238095238095238	0.03446459715006139	3.2355512067840837	42.60730593607306
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	6	vertex	0.7806071428571428	0.7261011904761906	0.8345535714285713	0.7892857142857143	0.04259959965018618	3.227987012987013	42.49545454545454
