label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-spl5-n1n2.mapjitter.klw	Risky first	0	ips	0.6632272040020882	0.44848448894325327	0.8547994408665922	0.8885830806718236	35	-0.03244988495198925	-0.30620029260549236	0.2063622356354731	0.6075	0.033574757163430724	12.647988505747126
log-spl5-n1n2.mapjitter.klw	Risky first	0	vertex	0.6956770889540774	0.5207984531715355	0.8695543108542081	0.8550083235083928	35	-0.03244988495198925	-0.30620029260549236	0.2063622356354731	0.6075	0.033574757163430724	12.670043415340087
log-spl5-n1n2.mapjitter.klw	Risky first	1	ips	0.752375807451802	0.5639069346120643	0.9391185276104185	0.941889085776863	35	0.03563473311395063	-0.20809156211916252	0.2656592219452314	0.3975	0.043427277693693034	23.08393113342898
log-spl5-n1n2.mapjitter.klw	Risky first	1	vertex	0.7167410743378511	0.554767957394803	0.8826045626403087	0.89846180808317	35	0.03563473311395063	-0.20809156211916252	0.2656592219452314	0.3975	0.043427277693693034	22.99198250728863
log-spl5-n1n2.mapjitter.klw	Risky first	2	ips	0.6354288458000737	0.4186226223032942	0.8353171001480874	0.8717315848873645	35	0.017502036281047757	-0.2433197305892257	0.2693504971856297	0.4525	-0.0898690131339469	42.27161383285303
log-spl5-n1n2.mapjitter.klw	Risky first	2	vertex	0.617926809519026	0.4029914550433144	0.8003355459798709	0.9616005980213114	35	0.017502036281047757	-0.2433197305892257	0.2693504971856297	0.4525	-0.0898690131339469	42.116883116883116
log-spl5-n1n2.mapjitter.klw	Risky second	0	ips	0.7703048892879052	0.5811307037673998	0.9681496448418482	0.9915735592313322	35	-0.025454324370927973	-0.28560468016957125	0.2179316186684377	0.5675	0.06585172084157309	12.667142857142856
log-spl5-n1n2.mapjitter.klw	Risky second	0	vertex	0.7957592136588332	0.6115648670168058	0.9634384658011281	0.9257218383897591	35	-0.025454324370927973	-0.28560468016957125	0.2179316186684377	0.5675	0.06585172084157309	12.688571428571429
log-spl5-n1n2.mapjitter.klw	Risky second	1	ips	0.6228182050481968	0.43646876598022327	0.8031628579773644	0.6985017255518281	35	-0.03860096542732085	-0.25340093522628476	0.1817509828634448	0.64	-0.19087743802583457	23.160377358490567
log-spl5-n1n2.mapjitter.klw	Risky second	1	vertex	0.6614191704755177	0.49273591809535106	0.8336709008404832	0.8893791635776627	35	-0.03860096542732085	-0.25340093522628476	0.1817509828634448	0.64	-0.19087743802583457	23.09928057553957
log-spl5-n1n2.mapjitter.klw	Risky second	2	ips	0.5862664413929302	0.3695671939542625	0.7982355460933572	0.6636328253270827	35	0.012006444262606664	-0.29064454003553186	0.3477875317008471	0.4725	-0.08177991376276184	42.263988522238165
log-spl5-n1n2.mapjitter.klw	Risky second	2	vertex	0.5742599971303235	0.3500004584926936	0.7751193195430257	0.7454127390898445	35	0.012006444262606664	-0.29064454003553186	0.3477875317008471	0.4725	-0.08177991376276184	42.24390243902439
