label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl5-nullind	Risky first	1	-0.00017142857142857124	-0.05874603174603174	0.05722222222222216	0.5025	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl5-nullind	Risky first	2	-0.0018909580498866205	-0.06164455782312925	0.06110487528344668	0.4625	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl5-nullind	Risky first	3	0.0005428571428571436	-0.06699603174603175	0.06306746031746029	0.525	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl5-nullind	Risky first	4	0.0005059523809523825	-0.06264880952380955	0.06517857142857142	0.52	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl5-nullind	Risky first	5	0.0006778061224489798	-0.06297505668934239	0.06135345804988663	0.5125	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl5-nullind	Risky first	6	0.001763690476190475	-0.05420436507936508	0.050287698412698374	0.5575	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl5-nullind	Risky second	1	0.0013031746031746034	-0.05937301587301586	0.059444444444444376	0.5225	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl5-nullind	Risky second	2	0.0009668934240362807	-0.06939342403628118	0.06460317460317458	0.5125	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl5-nullind	Risky second	3	0.0005365079365079368	-0.06194444444444444	0.06336904761904757	0.51	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl5-nullind	Risky second	4	-0.0003726190476190475	-0.07312103174603177	0.0654861111111111	0.4875	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl5-nullind	Risky second	5	-0.0007954365079365082	-0.05971768707482993	0.05257653061224481	0.5225	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl5-nullind	Risky second	6	-0.002271428571428572	-0.048571428571428564	0.05145238095238094	0.455	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
