label	order	n_safe	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-cspl5-percpmu.mapjitter.klw	Risky first	7.0	0.022808405483405486	-0.04263492063492062	0.09158730158730158	0.7475	-0.003564213564213565	0.03609656059327895	2.250946643717728	11.378313253012049
log-cspl5-percpmu.mapjitter.klw	Risky first	10.0	0.010700324675324677	-0.049124458874458876	0.08116883116883113	0.63	0.019004329004329006	0.031872359979577984	2.2675937122128174	16.337968561064088
log-cspl5-percpmu.mapjitter.klw	Risky first	14.0	0.005017316017316017	-0.05238636363636365	0.06554761904761904	0.57	-0.004632034632034642	0.041446960759510966	2.280140627679643	22.960984393757503
log-cspl5-percpmu.mapjitter.klw	Risky first	20.0	0.008713744588744587	-0.052916666666666674	0.07312229437229427	0.6025	-0.027489177489177494	0.042985399933987666	2.2894357743097236	32.89435774309724
log-cspl5-percpmu.mapjitter.klw	Risky first	28.0	0.01945649350649351	-0.047443722943722955	0.07863744588744588	0.74	0.04402597402597404	0.04149585065705767	2.2939791024323397	46.11570743405276
log-cspl5-percpmu.mapjitter.klw	Risky second	7.0	0.0306737012987013	-0.029534632034632028	0.08757575757575745	0.855	0.09588744588744588	0.04111927498400671	2.2501283147989737	11.375449101796407
log-cspl5-percpmu.mapjitter.klw	Risky second	10.0	0.026864177489177486	-0.036982683982683985	0.0884296536796536	0.81	0.010995670995671003	0.03478012487003009	2.273671497584541	16.368357487922705
log-cspl5-percpmu.mapjitter.klw	Risky second	14.0	0.029445346320346316	-0.03319264069264069	0.09530303030303025	0.815	0.07272727272727272	0.042458333277957935	2.2816180235535075	22.97132616487455
log-cspl5-percpmu.mapjitter.klw	Risky second	20.0	0.027396103896103897	-0.03701298701298701	0.09310064935064934	0.785	0.04675324675324675	0.04130364313616211	2.292840095465394	32.92840095465394
log-cspl5-percpmu.mapjitter.klw	Risky second	28.0	0.03218452380952381	-0.02386904761904762	0.09523809523809523	0.8475	0.03809523809523809	0.03959748120196977	2.298469387755102	46.17857142857143
