label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-spl3-percpmu.mapjitter.klw	Risky first	0	ips	0.5605802584191572	0.5235495863417137	0.6010752082332135	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-spl3-percpmu.mapjitter.klw	Risky first	0	vertex	0.5486756238540074	0.5126529961266804	0.5852729551150604	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-spl3-percpmu.mapjitter.klw	Risky first	1	ips	0.5328496104981068	0.5003289175319251	0.5684448974167019	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-spl3-percpmu.mapjitter.klw	Risky first	1	vertex	0.5210086097277826	0.4877493846023258	0.5572594817831439	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-spl3-percpmu.mapjitter.klw	Risky first	2	ips	0.5046839333181439	0.4607294372294373	0.546964551530341	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-spl3-percpmu.mapjitter.klw	Risky first	2	vertex	0.49413859269385585	0.45536717908854135	0.5304802558982125	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-spl3-percpmu.mapjitter.klw	Risky second	0	ips	0.5406966404105502	0.5011888541700572	0.5754891368030465	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-spl3-percpmu.mapjitter.klw	Risky second	0	vertex	0.5146710067918714	0.47603224782736064	0.5547556092612483	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-spl3-percpmu.mapjitter.klw	Risky second	1	ips	0.6031121070916404	0.5726506894623878	0.6412452540824942	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-spl3-percpmu.mapjitter.klw	Risky second	1	vertex	0.5745860104807473	0.5388735664919876	0.6099758107389686	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-spl3-percpmu.mapjitter.klw	Risky second	2	ips	0.6228728756414847	0.5822815344638653	0.6585826335318816	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-spl3-percpmu.mapjitter.klw	Risky second	2	vertex	0.6012887730690363	0.5659136097820309	0.6367701830333409	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
