label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl5-percmem.klw	Risky first	1	0.0008087301587301587	-0.0673015873015873	0.06163492063492059	0.4875	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl5-percmem.klw	Risky first	2	-0.0028059523809523808	-0.06516808390022676	0.06570266439909295	0.475	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl5-percmem.klw	Risky first	3	-0.0028214285714285715	-0.08248015873015872	0.061928571428571416	0.5025	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl5-percmem.klw	Risky first	4	-0.0019319444444444427	-0.06754166666666665	0.06585317460317457	0.475	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl5-percmem.klw	Risky first	5	0.0036882086167800456	-0.06503939909297053	0.07853883219954645	0.51	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl5-percmem.klw	Risky first	6	0.007654761904761904	-0.06081746031746032	0.07424404761904745	0.59	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl5-percmem.klw	Risky second	1	0.010999206349206347	-0.05596031746031746	0.07750793650793647	0.6475	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl5-percmem.klw	Risky second	2	0.011491496598639454	-0.06305102040816327	0.0838378684807255	0.635	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl5-percmem.klw	Risky second	3	0.008017857142857143	-0.057805555555555554	0.08080555555555555	0.5925	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl5-percmem.klw	Risky second	4	0.008267857142857143	-0.06502777777777775	0.07522817460317456	0.6175	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl5-percmem.klw	Risky second	5	0.012283049886621315	-0.056077664399092966	0.07330413832199545	0.655	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl5-percmem.klw	Risky second	6	0.015823809523809525	-0.048571428571428564	0.07714285714285715	0.695	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
