label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-power+weber-percmem.mapjitter.klw	Risky first	0	ips	0.7320230281221949	0.5374845244702562	0.9059942102170966	0.8885830806718236	35	0.0024175225663918944	-0.2534899087859458	0.21611289481595272	0.4825	0.033574757163430724	12.647988505747126
log-power+weber-percmem.mapjitter.klw	Risky first	0	vertex	0.729605505555803	0.5666124235438822	0.8930056888291781	0.8550083235083928	35	0.0024175225663918944	-0.2534899087859458	0.21611289481595272	0.4825	0.033574757163430724	12.670043415340087
log-power+weber-percmem.mapjitter.klw	Risky first	1	ips	0.7412487419347022	0.5677172338550868	0.9315572521784026	0.941889085776863	35	-0.00804992464079383	-0.22629389383416573	0.22595928028835036	0.51	0.043427277693693034	23.08393113342898
log-power+weber-percmem.mapjitter.klw	Risky first	1	vertex	0.7492986665754962	0.5907548549243566	0.922041886724332	0.89846180808317	35	-0.00804992464079383	-0.22629389383416573	0.22595928028835036	0.51	0.043427277693693034	22.99198250728863
log-power+weber-percmem.mapjitter.klw	Risky first	2	ips	0.5989108422803748	0.38256335559445537	0.7893645768423944	0.8717315848873645	35	0.026094737291460543	-0.23950507097066734	0.28992529837461894	0.4275	-0.0898690131339469	42.27161383285303
log-power+weber-percmem.mapjitter.klw	Risky first	2	vertex	0.5728161049889142	0.38828707708129584	0.7697872163589694	0.9616005980213114	35	0.026094737291460543	-0.23950507097066734	0.28992529837461894	0.4275	-0.0898690131339469	42.116883116883116
log-power+weber-percmem.mapjitter.klw	Risky second	0	ips	0.7890920496120535	0.6055706700202101	0.9708908727960724	0.9915735592313322	35	-0.02270096381645093	-0.2794846305671041	0.21345679412379842	0.5325	0.06585172084157309	12.667142857142856
log-power+weber-percmem.mapjitter.klw	Risky second	0	vertex	0.8117930134285044	0.6600462823351534	0.9795000512493943	0.9257218383897591	35	-0.02270096381645093	-0.2794846305671041	0.21345679412379842	0.5325	0.06585172084157309	12.688571428571429
log-power+weber-percmem.mapjitter.klw	Risky second	1	ips	0.7210433100433772	0.5357756199228699	0.8949597187696617	0.6985017255518281	35	-0.005540613081520052	-0.21622191806281235	0.21073054421512796	0.515	-0.19087743802583457	23.160377358490567
log-power+weber-percmem.mapjitter.klw	Risky second	1	vertex	0.7265839231248973	0.5695872273380942	0.8940953665823022	0.8893791635776627	35	-0.005540613081520052	-0.21622191806281235	0.21073054421512796	0.515	-0.19087743802583457	23.09928057553957
log-power+weber-percmem.mapjitter.klw	Risky second	2	ips	0.5935933631563097	0.4011588478798122	0.8051785111591688	0.6636328253270827	35	0.018308430613723087	-0.2740798744587351	0.34132038726478	0.4575	-0.08177991376276184	42.263988522238165
log-power+weber-percmem.mapjitter.klw	Risky second	2	vertex	0.5752849325425866	0.39113353475369944	0.7710132377835394	0.7454127390898445	35	0.018308430613723087	-0.2740798744587351	0.34132038726478	0.4575	-0.08177991376276184	42.24390243902439
