label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-mem.mapjitter.klw	Risky first	7.0	ips	0.6278309523809523	0.5809523809523809	0.6686071428571427	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power-mem.mapjitter.klw	Risky first	7.0	vertex	0.6244994588744589	0.5820021645021645	0.6725450937950938	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power-mem.mapjitter.klw	Risky first	10.0	ips	0.5795005411255412	0.5370021645021645	0.620362554112554	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power-mem.mapjitter.klw	Risky first	10.0	vertex	0.5824201298701298	0.5401612554112555	0.6261515151515151	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power-mem.mapjitter.klw	Risky first	14.0	ips	0.5291201298701299	0.4848376623376623	0.5735984848484849	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power-mem.mapjitter.klw	Risky first	14.0	vertex	0.5379562770562771	0.49179653679653684	0.5817781385281385	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power-mem.mapjitter.klw	Risky first	20.0	ips	0.47797348484848484	0.42987012987012985	0.5225324675324676	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power-mem.mapjitter.klw	Risky first	20.0	vertex	0.488525	0.4446926406926407	0.5342619047619046	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power-mem.mapjitter.klw	Risky first	28.0	ips	0.4363511904761906	0.3904761904761905	0.4785714285714286	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power-mem.mapjitter.klw	Risky first	28.0	vertex	0.4472097402597403	0.4003430735930736	0.491517316017316	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power-mem.mapjitter.klw	Risky second	7.0	ips	0.5808528138528138	0.5343777056277056	0.6188798701298701	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power-mem.mapjitter.klw	Risky second	7.0	vertex	0.575237012987013	0.5378787878787878	0.6192694805194805	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power-mem.mapjitter.klw	Risky second	10.0	ips	0.592266883116883	0.5489134199134199	0.6396569264069263	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power-mem.mapjitter.klw	Risky second	10.0	vertex	0.5837981601731602	0.5376461038961039	0.6283874458874459	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power-mem.mapjitter.klw	Risky second	14.0	ips	0.5926114718614719	0.551504329004329	0.6325054112554113	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power-mem.mapjitter.klw	Risky second	14.0	vertex	0.5788100649350649	0.5393885281385282	0.6229924242424243	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power-mem.mapjitter.klw	Risky second	20.0	ips	0.5842445887445887	0.5413365800865801	0.6270616883116883	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power-mem.mapjitter.klw	Risky second	20.0	vertex	0.5716964285714284	0.5285714285714286	0.6166666666666666	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power-mem.mapjitter.klw	Risky second	28.0	ips	0.5706190476190475	0.5261904761904762	0.6142857142857143	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power-mem.mapjitter.klw	Risky second	28.0	vertex	0.5603154761904762	0.5142857142857142	0.6047619047619048	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
