label	order	stake_bin	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-power-n1n2	Risky first	0	-0.013525260885853539	-0.059999222496015935	0.0315984661807306	0.275	0.011795959213031306	0.029597452359253172	2.0757029560201876	12.658976207642393
log-power-n1n2	Risky first	1	-0.0028900039920274324	-0.04898806859266832	0.04377786170289488	0.45	-0.008979291876240124	0.03521516769099482	2.2844540853217645	23.03832248734635
log-power-n1n2	Risky first	2	0.013672870567684813	-0.03865182229191516	0.06108825539785291	0.7025	0.016444006629765147	0.033777521973981664	2.4692295808013185	42.19430425378515
log-power-n1n2	Risky second	0	0.016656396944742812	-0.02775042584817021	0.06352622899239438	0.76	0.05994824724148031	0.03282724727628665	2.07734693877551	12.677857142857142
log-power-n1n2	Risky second	1	0.013696888675725471	-0.03370962771073342	0.057899650131184845	0.7275	0.061330860893001535	0.03509798859832722	2.2888109000825763	23.129696531791907
log-power-n1n2	Risky second	2	0.01910696709305732	-0.03961923748765855	0.0777695998654645	0.77	0.03700550076489926	0.03892267001359706	2.4729452756712442	42.25394548063128
