label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-null.klw	Risky first	1	ips	0.30951666666666666	0.26412698412698415	0.35270634920634925	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149	15.825214899713467
log-power-null.klw	Risky first	1	vertex	0.31047380952380954	0.2605396825396825	0.35493650793650794	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618	15.847262247838616
log-power-null.klw	Risky first	2	ips	0.3924825396825397	0.3497426303854875	0.43935260770975054	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555	15.733711048158641
log-power-null.klw	Risky first	2	vertex	0.3940064342403628	0.34656604308390027	0.4388339002267574	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977	15.701149425287356
log-power-null.klw	Risky first	3	ips	0.48957896825396824	0.43649603174603174	0.5355674603174603	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107	15.774928774928775
log-power-null.klw	Risky first	3	vertex	0.48919087301587294	0.4403095238095238	0.5376507936507937	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713	15.795977011494253
log-power-null.klw	Risky first	4	ips	0.5812690476190476	0.5326904761904763	0.6279365079365079	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414	15.841954022988507
log-power-null.klw	Risky first	4	vertex	0.5820305555555556	0.5281587301587302	0.6277063492063493	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527	15.786549707602338
log-power-null.klw	Risky first	5	ips	0.6624233560090702	0.6110011337868481	0.7121258503401361	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074	15.831884057971015
log-power-null.klw	Risky first	5	vertex	0.6617093253968256	0.6115813492063491	0.7109365079365079	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814	15.877906976744185
log-power-null.klw	Risky first	6	ips	0.7309718253968254	0.6846746031746032	0.7791011904761903	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334	15.926686217008797
log-power-null.klw	Risky first	6	vertex	0.7316130952380954	0.6814246031746033	0.7787380952380952	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167	15.873900293255131
log-power-null.klw	Risky second	1	ips	0.3329730158730159	0.28785714285714287	0.3774841269841269	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902	15.855907780979827
log-power-null.klw	Risky second	1	vertex	0.3321373015873016	0.2828174603174603	0.380968253968254	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422	15.816618911174785
log-power-null.klw	Risky second	2	ips	0.42792097505668936	0.3769546485260771	0.481421768707483	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936	15.737891737891738
log-power-null.klw	Risky second	2	vertex	0.4274208616780045	0.3766315192743764	0.4763310657596372	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727	15.75
log-power-null.klw	Risky second	3	ips	0.5365619047619048	0.4890357142857143	0.5849285714285712	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817	15.75
log-power-null.klw	Risky second	3	vertex	0.5368503968253968	0.4891349206349207	0.5824007936507936	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428	15.791428571428572
log-power-null.klw	Risky second	4	ips	0.6413190476190477	0.5954166666666666	0.6915257936507937	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389	15.85014409221902
log-power-null.klw	Risky second	4	vertex	0.6411	0.5914285714285714	0.6885714285714285	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143	15.8
log-power-null.klw	Risky second	5	ips	0.7271340136054423	0.6797222222222222	0.7723968253968253	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884	15.898255813953488
log-power-null.klw	Risky second	5	vertex	0.725811507936508	0.6798412698412698	0.7690674603174603	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116	15.898550724637682
log-power-null.klw	Risky second	6	ips	0.7953214285714286	0.7514285714285714	0.84	0.84	0.027255405754769875	3.206335403726708	33.391304347826086	15.889855072463767
log-power-null.klw	Risky second	6	vertex	0.7954309523809525	0.7466428571428572	0.8381190476190477	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555	15.884393063583815
