label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power+weber-percmem.mapjitter.klw	Risky first	0	ips	0.5524538717719943	0.5140364814187238	0.5897964434577658	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-power+weber-percmem.mapjitter.klw	Risky first	0	vertex	0.5542561417070816	0.5194132354696265	0.5859862480877518	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-power+weber-percmem.mapjitter.klw	Risky first	1	ips	0.5346143744100511	0.5028294030530872	0.5663029570679947	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-power+weber-percmem.mapjitter.klw	Risky first	1	vertex	0.5326269595238414	0.5002496347821425	0.5664141982151712	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-power+weber-percmem.mapjitter.klw	Risky first	2	ips	0.5030348332953597	0.4670516062884484	0.5444633363712311	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-power+weber-percmem.mapjitter.klw	Risky first	2	vertex	0.49427243219456846	0.4572687054087983	0.5282173213783121	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-power+weber-percmem.mapjitter.klw	Risky second	0	ips	0.5292056371990582	0.4939240579804489	0.5646589634258807	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-power+weber-percmem.mapjitter.klw	Risky second	0	vertex	0.525560768262648	0.4946201868307131	0.5625032603152905	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-power+weber-percmem.mapjitter.klw	Risky second	1	ips	0.5910473036104394	0.5613650803224001	0.6260634280825568	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-power+weber-percmem.mapjitter.klw	Risky second	1	vertex	0.5815280227082859	0.5481437685121896	0.6149975886686413	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-power+weber-percmem.mapjitter.klw	Risky second	2	ips	0.6231160550184986	0.5853328206880839	0.6606854853584178	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-power+weber-percmem.mapjitter.klw	Risky second	2	vertex	0.6075134085213033	0.5705601503759399	0.648582459937723	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
