label	order	stake_bin	stim	slope	lo	hi	observed	stake_chf	n_trials	d_slope_observed	d_slope	lo_contrast	hi_contrast	p_lt0	stake_chf_contrast
log-spl6-percpmu.mapjitter.klw	Risky first	0	ips	0.4472317926012431	0.334337915753551	0.55157379394709	0.5726447448718716	12.647988505747126	696	-0.061416750116486396	-0.08714917306490481	-0.2215376665194651	0.04884080974342469	0.8975	12.658976207642393
log-spl6-percpmu.mapjitter.klw	Risky first	0	vertex	0.5343809656661479	0.4305924674308567	0.6362620775750905	0.634061494988358	12.670043415340087	691	-0.061416750116486396	-0.08714917306490481	-0.2215376665194651	0.04884080974342469	0.8975	12.658976207642393
log-spl6-percpmu.mapjitter.klw	Risky first	1	ips	0.3798658578054329	0.2747331509916737	0.49875744555001666	0.48139778942782585	23.08393113342898	697	-0.011754715115601888	-0.06505900191411118	-0.21089451707445106	0.07667535971607765	0.805	23.03832248734635
log-spl6-percpmu.mapjitter.klw	Risky first	1	vertex	0.4449248597195441	0.34223913585265076	0.5436164449722625	0.49315250454342774	22.99198250728863	686	-0.011754715115601888	-0.06505900191411118	-0.21089451707445106	0.07667535971607765	0.805	23.03832248734635
log-spl6-percpmu.mapjitter.klw	Risky first	2	ips	0.1563357293347454	0.0449379777557304	0.27032662671349644	0.23221653369331777	42.27161383285303	694	0.0213864321101917	-0.048146059919737506	-0.1891072957304749	0.1140067776133384	0.7525	42.19430425378515
log-spl6-percpmu.mapjitter.klw	Risky first	2	vertex	0.20448178925448285	0.1048599004198865	0.3138179782337081	0.21083010158312607	42.116883116883116	693	0.0213864321101917	-0.048146059919737506	-0.1891072957304749	0.1140067776133384	0.7525	42.19430425378515
log-spl6-percpmu.mapjitter.klw	Risky second	0	ips	0.521388736155914	0.414944342736654	0.6187437601271313	0.5535422762288243	12.667142857142856	700	-0.18798032163285872	-0.10757838517862671	-0.24641051780156492	0.03626870015403261	0.945	12.677857142857142
log-spl6-percpmu.mapjitter.klw	Risky second	0	vertex	0.6289671213345406	0.5336345227448175	0.7237064244297584	0.7415225978616831	12.688571428571429	700	-0.18798032163285872	-0.10757838517862671	-0.24641051780156492	0.03626870015403261	0.945	12.677857142857142
log-spl6-percpmu.mapjitter.klw	Risky second	1	ips	0.29043382234403803	0.1851896848322389	0.39512764483923524	0.29270400382215733	23.160377358490567	689	-0.14778942258236893	-0.08011551041428419	-0.21617758807803092	0.06280519391338199	0.87	23.129696531791907
log-spl6-percpmu.mapjitter.klw	Risky second	1	vertex	0.37054933275832214	0.27099851474345216	0.4675411192005909	0.44049342640452627	23.09928057553957	695	-0.14778942258236893	-0.08011551041428419	-0.21617758807803092	0.06280519391338199	0.87	23.129696531791907
log-spl6-percpmu.mapjitter.klw	Risky second	2	ips	0.14585607365731615	0.046523455748829684	0.2624910647175342	0.12211657687000906	42.263988522238165	697	-0.03299622260997469	-0.021971990352523226	-0.16282326090011387	0.12104696930830501	0.6125	42.25394548063128
log-spl6-percpmu.mapjitter.klw	Risky second	2	vertex	0.16782806400983938	0.05422602511781378	0.2720726817619396	0.15511279947998374	42.24390243902439	697	-0.03299622260997469	-0.021971990352523226	-0.16282326090011387	0.12104696930830501	0.6125	42.25394548063128
