label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-power-percpsd.pathfinder.klw	Risky first	0	ips	0.696242319326033	0.5033934240613746	0.9000833220503647	0.8885830806718236	35	-0.015587728187076573	-0.2720848101344469	0.2404101323565428	0.54	0.033574757163430724	12.647988505747126
log-power-percpsd.pathfinder.klw	Risky first	0	vertex	0.7118300475131094	0.5383415905623714	0.8683965840455254	0.8550083235083928	35	-0.015587728187076573	-0.2720848101344469	0.2404101323565428	0.54	0.033574757163430724	12.670043415340087
log-power-percpsd.pathfinder.klw	Risky first	1	ips	0.7291616752687582	0.5485896812622744	0.8965198830302392	0.941889085776863	35	-0.03541763094127377	-0.25533780085743235	0.1891635352684157	0.6125	0.043427277693693034	23.08393113342898
log-power-percpsd.pathfinder.klw	Risky first	1	vertex	0.7645793062100321	0.5971339057012806	0.9293105424567888	0.89846180808317	35	-0.03541763094127377	-0.25533780085743235	0.1891635352684157	0.6125	0.043427277693693034	22.99198250728863
log-power-percpsd.pathfinder.klw	Risky first	2	ips	0.5893064351548769	0.381281857825531	0.8095924795225224	0.8717315848873645	35	-0.020887189834620477	-0.26220325264570254	0.26501774169811343	0.59	-0.0898690131339469	42.27161383285303
log-power-percpsd.pathfinder.klw	Risky first	2	vertex	0.6101936249894974	0.41904722324806565	0.820858496826914	0.9616005980213114	35	-0.020887189834620477	-0.26220325264570254	0.26501774169811343	0.59	-0.0898690131339469	42.116883116883116
log-power-percpsd.pathfinder.klw	Risky second	0	ips	0.7390726456604088	0.5464489859296594	0.9202608162124004	0.9915735592313322	35	-0.03464310306301644	-0.269144494018855	0.18908343419943077	0.5925	0.06585172084157309	12.667142857142856
log-power-percpsd.pathfinder.klw	Risky second	0	vertex	0.7737157487234251	0.5770401618470277	0.9381871087580528	0.9257218383897591	35	-0.03464310306301644	-0.269144494018855	0.18908343419943077	0.5925	0.06585172084157309	12.688571428571429
log-power-percpsd.pathfinder.klw	Risky second	1	ips	0.687975396634854	0.510712543666203	0.8542137780438829	0.6985017255518281	35	-0.03927893411172474	-0.2604242136488521	0.18992502616286588	0.6325	-0.19087743802583457	23.160377358490567
log-power-percpsd.pathfinder.klw	Risky second	1	vertex	0.7272543307465787	0.5752299687268628	0.8922581278477493	0.8893791635776627	35	-0.03927893411172474	-0.2604242136488521	0.18992502616286588	0.6325	-0.19087743802583457	23.09928057553957
log-power-percpsd.pathfinder.klw	Risky second	2	ips	0.5717820447529569	0.3590549687687881	0.768840672312567	0.6636328253270827	35	-0.028466293556039267	-0.3018047695150215	0.252026452174837	0.565	-0.08177991376276184	42.263988522238165
log-power-percpsd.pathfinder.klw	Risky second	2	vertex	0.6002483383089962	0.4057700685959636	0.8021103587436609	0.7454127390898445	35	-0.028466293556039267	-0.3018047695150215	0.252026452174837	0.565	-0.08177991376276184	42.24390243902439
