label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-genweber-n1	Risky first	0	ips	0.5633461738443384	0.5288265223154652	0.5994021295918686	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-genweber-n1	Risky first	0	vertex	0.5584433212359905	0.5230693725656131	0.5962264779915155	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-genweber-n1	Risky first	1	ips	0.5276571943929086	0.49408316516399226	0.5571299243780446	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-genweber-n1	Risky first	1	vertex	0.5290151309487112	0.4947638340822773	0.5615353016804807	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-genweber-n1	Risky first	2	ips	0.512012219943799	0.4740666248955723	0.5479943609022557	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-genweber-n1	Risky first	2	vertex	0.5083867950848601	0.468218413681262	0.547800050482713	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-genweber-n1	Risky second	0	ips	0.5433195214768523	0.5089728867623604	0.5784522588939882	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-genweber-n1	Risky second	0	vertex	0.527268676019052	0.4926407062027363	0.5577495226160639	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-genweber-n1	Risky second	1	ips	0.6028848784011213	0.5718959183354362	0.6368445622268046	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-genweber-n1	Risky second	1	vertex	0.5808305232778918	0.5472710754158122	0.6122832649806333	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-genweber-n1	Risky second	2	ips	0.6359218142759496	0.6051860414022069	0.6677305845783289	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-genweber-n1	Risky second	2	vertex	0.6217532980177717	0.5851217627401839	0.6597724804435331	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
