label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n2psd.mapjitter.ti0.15	Risky first	7.0	ips	0.6565071428571428	0.6057023809523809	0.7042857142857143	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power-n2psd.mapjitter.ti0.15	Risky first	7.0	vertex	0.6587929292929292	0.6174981962481962	0.7065025252525252	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power-n2psd.mapjitter.ti0.15	Risky first	10.0	ips	0.5867516233766233	0.5486958874458875	0.6259794372294372	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power-n2psd.mapjitter.ti0.15	Risky first	10.0	vertex	0.5765843073593073	0.5297391774891775	0.6186244588744588	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power-n2psd.mapjitter.ti0.15	Risky first	14.0	ips	0.5242775974025974	0.4796049783549784	0.567332251082251	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power-n2psd.mapjitter.ti0.15	Risky first	14.0	vertex	0.5091464285714286	0.46085389610389604	0.5485010822510822	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power-n2psd.mapjitter.ti0.15	Risky first	20.0	ips	0.4764929653679654	0.4343939393939394	0.5232142857142856	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power-n2psd.mapjitter.ti0.15	Risky first	20.0	vertex	0.45853062770562775	0.412758658008658	0.5010519480519481	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power-n2psd.mapjitter.ti0.15	Risky first	28.0	ips	0.4553690476190477	0.4142857142857143	0.5	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power-n2psd.mapjitter.ti0.15	Risky first	28.0	vertex	0.43041417748917754	0.3895205627705628	0.4714999999999999	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power-n2psd.mapjitter.ti0.15	Risky second	7.0	ips	0.5830146103896103	0.5346320346320346	0.6242857142857142	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power-n2psd.mapjitter.ti0.15	Risky second	7.0	vertex	0.5687104978354978	0.5263961038961039	0.6108603896103896	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power-n2psd.mapjitter.ti0.15	Risky second	10.0	ips	0.6106758658008657	0.5714491341991342	0.6536580086580087	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power-n2psd.mapjitter.ti0.15	Risky second	10.0	vertex	0.592935064935065	0.5529599567099567	0.6335822510822512	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power-n2psd.mapjitter.ti0.15	Risky second	14.0	ips	0.6181958874458874	0.582245670995671	0.6615205627705628	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power-n2psd.mapjitter.ti0.15	Risky second	14.0	vertex	0.5924680735930736	0.5489123376623377	0.6351136363636363	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power-n2psd.mapjitter.ti0.15	Risky second	20.0	ips	0.6051601731601731	0.5599404761904763	0.6487067099567099	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power-n2psd.mapjitter.ti0.15	Risky second	20.0	vertex	0.5764166666666666	0.5333333333333333	0.6167261904761904	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power-n2psd.mapjitter.ti0.15	Risky second	28.0	ips	0.5757142857142856	0.5238095238095237	0.6214285714285714	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power-n2psd.mapjitter.ti0.15	Risky second	28.0	vertex	0.5426369047619047	0.4928571428571429	0.5857738095238095	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
