label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	0	ips	0.6630105322258443	0.47043912537696436	0.8744074217615018	0.8885830806718236	35	-0.006396164044890848	-0.28735521884902976	0.23791901097828766	0.495	0.033574757163430724	12.647988505747126
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	0	vertex	0.669406696270735	0.4946611030693551	0.8281567823431436	0.8550083235083928	35	-0.006396164044890848	-0.28735521884902976	0.23791901097828766	0.495	0.033574757163430724	12.670043415340087
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	1	ips	0.6883569559598496	0.496228741277834	0.8751686337553368	0.941889085776863	35	-0.03272664617138076	-0.2622222730934725	0.2157107957359427	0.6075	0.043427277693693034	23.08393113342898
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	1	vertex	0.7210836021312305	0.5395315537758977	0.8946372153226892	0.89846180808317	35	-0.03272664617138076	-0.2622222730934725	0.2157107957359427	0.6075	0.043427277693693034	22.99198250728863
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	2	ips	0.5665724862111111	0.34791122193180407	0.7646720839187275	0.8717315848873645	35	-0.0009782054519958273	-0.2628340721368142	0.24224378147853595	0.495	-0.0898690131339469	42.27161383285303
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	2	vertex	0.567550691663107	0.3785619321197109	0.7750775907366538	0.9616005980213114	35	-0.0009782054519958273	-0.2628340721368142	0.24224378147853595	0.495	-0.0898690131339469	42.116883116883116
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	0	ips	0.7043689630672658	0.456073036505149	0.9198451519605052	0.9915735592313322	35	-0.049215509155131815	-0.3376075374014925	0.18626176001939884	0.635	0.06585172084157309	12.667142857142856
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	0	vertex	0.7535844722223974	0.5689725303666823	0.9086468086743746	0.9257218383897591	35	-0.049215509155131815	-0.3376075374014925	0.18626176001939884	0.635	0.06585172084157309	12.688571428571429
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	1	ips	0.6505654788561714	0.47451307993870806	0.8263888637896663	0.6985017255518281	35	-0.01416946039192738	-0.24449124403775177	0.22710978774451754	0.5275	-0.19087743802583457	23.160377358490567
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	1	vertex	0.664734939248099	0.4843177553866671	0.8288373173661443	0.8893791635776627	35	-0.01416946039192738	-0.24449124403775177	0.22710978774451754	0.5275	-0.19087743802583457	23.09928057553957
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	2	ips	0.5384000819212637	0.3285699358904017	0.7637445892498158	0.6636328253270827	35	0.022133478900879987	-0.2640967227226908	0.3477689278609639	0.4525	-0.08177991376276184	42.263988522238165
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	2	vertex	0.5162666030203836	0.3080202102383253	0.7421716767855402	0.7454127390898445	35	0.022133478900879987	-0.2640967227226908	0.3477689278609639	0.4525	-0.08177991376276184	42.24390243902439
