label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n2.mapjitter.klw	Risky first	7.0	ips	0.605604761904762	0.5604761904761905	0.6486071428571428	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power-n2.mapjitter.klw	Risky first	7.0	vertex	0.6318219696969698	0.585741341991342	0.6765151515151516	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power-n2.mapjitter.klw	Risky first	10.0	ips	0.567943722943723	0.5225000000000001	0.6088852813852814	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power-n2.mapjitter.klw	Risky first	10.0	vertex	0.585624025974026	0.5430313852813853	0.6258257575757575	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power-n2.mapjitter.klw	Risky first	14.0	ips	0.5276038961038961	0.4805032467532467	0.5762554112554112	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power-n2.mapjitter.klw	Risky first	14.0	vertex	0.5362765151515151	0.494435064935065	0.5804004329004329	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power-n2.mapjitter.klw	Risky first	20.0	ips	0.4846650432900433	0.43700757575757576	0.5314285714285714	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power-n2.mapjitter.klw	Risky first	20.0	vertex	0.48494880952380953	0.44135497835497833	0.532232683982684	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power-n2.mapjitter.klw	Risky first	28.0	ips	0.45020238095238096	0.4023214285714286	0.49529761904761893	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power-n2.mapjitter.klw	Risky first	28.0	vertex	0.44360768398268396	0.39670995670995673	0.4938225108225108	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power-n2.mapjitter.klw	Risky second	7.0	ips	0.5910248917748917	0.5499837662337663	0.6309902597402597	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power-n2.mapjitter.klw	Risky second	7.0	vertex	0.5740373376623377	0.5313798701298702	0.6167261904761904	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power-n2.mapjitter.klw	Risky second	10.0	ips	0.589482251082251	0.5493290043290043	0.6282987012987012	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power-n2.mapjitter.klw	Risky second	10.0	vertex	0.584767316017316	0.5449999999999999	0.6277597402597401	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power-n2.mapjitter.klw	Risky second	14.0	ips	0.5810708874458875	0.5363636363636364	0.6229491341991342	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power-n2.mapjitter.klw	Risky second	14.0	vertex	0.5799680735930736	0.5348430735930736	0.6220833333333333	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power-n2.mapjitter.klw	Risky second	20.0	ips	0.5676585497835498	0.5194805194805195	0.6149512987012987	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power-n2.mapjitter.klw	Risky second	20.0	vertex	0.5688154761904761	0.5214285714285715	0.6143452380952381	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power-n2.mapjitter.klw	Risky second	28.0	ips	0.5510833333333333	0.5047619047619047	0.5976785714285714	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power-n2.mapjitter.klw	Risky second	28.0	vertex	0.544922619047619	0.4951785714285714	0.5905357142857143	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
