label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl3-n2	Risky first	0	ips	0.5495616815466218	0.5145492758506912	0.5860824133481144	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-spl3-n2	Risky first	0	vertex	0.5687042758411179	0.5326760651629072	0.6055530194533953	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-spl3-n2	Risky first	1	ips	0.5257014904685957	0.4938194919115972	0.5597220621901072	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-spl3-n2	Risky first	1	vertex	0.5340162490674101	0.5026694914010261	0.5676008414530087	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-spl3-n2	Risky first	2	ips	0.5095782619427356	0.47163138907875757	0.5477297789929368	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-spl3-n2	Risky first	2	vertex	0.5110319423782272	0.47251905834103974	0.548647123602232	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-spl3-n2	Risky second	0	ips	0.5345629536503597	0.4952497368963535	0.5691442187720384	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-spl3-n2	Risky second	0	vertex	0.5283222808102508	0.494278930551487	0.5640697984137834	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-spl3-n2	Risky second	1	ips	0.6037025839522413	0.5723060034221025	0.6406171447845486	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-spl3-n2	Risky second	1	vertex	0.60076495215311	0.5664504822662717	0.6330880041011621	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-spl3-n2	Risky second	2	ips	0.6283080715858911	0.5930771788779308	0.6685468866972627	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-spl3-n2	Risky second	2	vertex	0.6121875617072985	0.577027227158806	0.647926217057796	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
