label	order	n_safe	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-power-spmu.mapjitter.klw	Risky first	7.0	0.019898809523809527	-0.037359307359307356	0.07891594516594515	0.7275	-0.003564213564213565	0.03609656059327895	2.250946643717728	11.378313253012049
log-power-spmu.mapjitter.klw	Risky first	10.0	0.02034274891774892	-0.03655627705627705	0.08235714285714284	0.7475	0.019004329004329006	0.031872359979577984	2.2675937122128174	16.337968561064088
log-power-spmu.mapjitter.klw	Risky first	14.0	0.01714512987012987	-0.04002056277056277	0.08153354978354975	0.6775	-0.004632034632034642	0.041446960759510966	2.280140627679643	22.960984393757503
log-power-spmu.mapjitter.klw	Risky first	20.0	0.017256385281385282	-0.050522727272727275	0.07880194805194801	0.7025	-0.027489177489177494	0.042985399933987666	2.2894357743097236	32.89435774309724
log-power-spmu.mapjitter.klw	Risky first	28.0	0.01778008658008658	-0.04212445887445888	0.07550324675324667	0.73	0.04402597402597404	0.04149585065705767	2.2939791024323397	46.11570743405276
log-power-spmu.mapjitter.klw	Risky second	7.0	0.03129112554112554	-0.024031385281385282	0.08790584415584413	0.86	0.09588744588744588	0.04111927498400671	2.2501283147989737	11.375449101796407
log-power-spmu.mapjitter.klw	Risky second	10.0	0.028599891774891778	-0.029888528138528138	0.08656385281385279	0.8175	0.010995670995671003	0.03478012487003009	2.273671497584541	16.368357487922705
log-power-spmu.mapjitter.klw	Risky second	14.0	0.031285714285714285	-0.028371212121212113	0.09720238095238094	0.8575	0.07272727272727272	0.042458333277957935	2.2816180235535075	22.97132616487455
log-power-spmu.mapjitter.klw	Risky second	20.0	0.026695346320346317	-0.033376623376623366	0.09113636363636363	0.78	0.04675324675324675	0.04130364313616211	2.292840095465394	32.92840095465394
log-power-spmu.mapjitter.klw	Risky second	28.0	0.024994047619047617	-0.0381547619047619	0.08571428571428572	0.795	0.03809523809523809	0.03959748120196977	2.298469387755102	46.17857142857143
