label	order	n_safe	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl4-percpmu.mapjitter.klw	Risky first	7.0	0.01761067821067821	-0.04578354978354978	0.08412301587301585	0.695	-0.003564213564213565	0.03609656059327895	2.250946643717728	11.378313253012049
log-spl4-percpmu.mapjitter.klw	Risky first	10.0	0.010437554112554115	-0.04971428571428571	0.07827272727272727	0.6175	0.019004329004329006	0.031872359979577984	2.2675937122128174	16.337968561064088
log-spl4-percpmu.mapjitter.klw	Risky first	14.0	0.006412229437229438	-0.05526298701298701	0.07122077922077921	0.57	-0.004632034632034642	0.041446960759510966	2.280140627679643	22.960984393757503
log-spl4-percpmu.mapjitter.klw	Risky first	20.0	0.01365573593073593	-0.04637229437229437	0.07412554112554111	0.66	-0.027489177489177494	0.042985399933987666	2.2894357743097236	32.89435774309724
log-spl4-percpmu.mapjitter.klw	Risky first	28.0	0.019625974025974026	-0.04483658008658008	0.08160389610389611	0.7275	0.04402597402597404	0.04149585065705767	2.2939791024323397	46.11570743405276
log-spl4-percpmu.mapjitter.klw	Risky second	7.0	0.024643398268398273	-0.03833333333333334	0.08121753246753244	0.81	0.09588744588744588	0.04111927498400671	2.2501283147989737	11.375449101796407
log-spl4-percpmu.mapjitter.klw	Risky second	10.0	0.023532575757575756	-0.03376948051948051	0.08537770562770564	0.7875	0.010995670995671003	0.03478012487003009	2.273671497584541	16.368357487922705
log-spl4-percpmu.mapjitter.klw	Risky second	14.0	0.027614718614718616	-0.04180735930735929	0.09069805194805193	0.8075	0.07272727272727272	0.042458333277957935	2.2816180235535075	22.97132616487455
log-spl4-percpmu.mapjitter.klw	Risky second	20.0	0.027776515151515153	-0.03508116883116883	0.09461580086580085	0.81	0.04675324675324675	0.04130364313616211	2.292840095465394	32.92840095465394
log-spl4-percpmu.mapjitter.klw	Risky second	28.0	0.03051190476190476	-0.03345238095238095	0.09053571428571423	0.8225	0.03809523809523809	0.03959748120196977	2.298469387755102	46.17857142857143
