label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-spl6-percpmu.mapjitter.klw	Risky first	0	ips	0.6540198912977085	0.45640969470725323	0.8505856121767383	0.8885830806718236	35	-0.026526672732939623	-0.2745070939154752	0.21536972164024096	0.585	0.033574757163430724	12.647988505747126
log-spl6-percpmu.mapjitter.klw	Risky first	0	vertex	0.680546564030648	0.5058387736636124	0.8665858649636973	0.8550083235083928	35	-0.026526672732939623	-0.2745070939154752	0.21536972164024096	0.585	0.033574757163430724	12.670043415340087
log-spl6-percpmu.mapjitter.klw	Risky first	1	ips	0.7113690876277639	0.5285030382976051	0.9000283160765209	0.941889085776863	35	-0.029840702175640006	-0.26947872066829504	0.22215278628662669	0.6025	0.043427277693693034	23.08393113342898
log-spl6-percpmu.mapjitter.klw	Risky first	1	vertex	0.7412097898034038	0.5816902341397349	0.9294304877419355	0.89846180808317	35	-0.029840702175640006	-0.26947872066829504	0.22215278628662669	0.6025	0.043427277693693034	22.99198250728863
log-spl6-percpmu.mapjitter.klw	Risky first	2	ips	0.5651411734619913	0.3593170165318908	0.7735295286999767	0.8717315848873645	35	-0.03772603242825827	-0.3124731393715825	0.23719465764133504	0.605	-0.0898690131339469	42.27161383285303
log-spl6-percpmu.mapjitter.klw	Risky first	2	vertex	0.6028672058902496	0.41062009258621035	0.7910857489883124	0.9616005980213114	35	-0.03772603242825827	-0.3124731393715825	0.23719465764133504	0.605	-0.0898690131339469	42.116883116883116
log-spl6-percpmu.mapjitter.klw	Risky second	0	ips	0.736805198458842	0.5361138755600291	0.9158706864734975	0.9915735592313322	35	-0.04306985181154357	-0.2899875755823943	0.185693530172389	0.605	0.06585172084157309	12.667142857142856
log-spl6-percpmu.mapjitter.klw	Risky second	0	vertex	0.7798750502703855	0.6100636867274384	0.9411854293053102	0.9257218383897591	35	-0.04306985181154357	-0.2899875755823943	0.185693530172389	0.605	0.06585172084157309	12.688571428571429
log-spl6-percpmu.mapjitter.klw	Risky second	1	ips	0.5974352507425484	0.4136829322223259	0.7725398293518927	0.6985017255518281	35	-0.04254274311233859	-0.2654039710040682	0.19208311862385521	0.6375	-0.19087743802583457	23.160377358490567
log-spl6-percpmu.mapjitter.klw	Risky second	1	vertex	0.6399779938548871	0.4902938261388095	0.8075270035726873	0.8893791635776627	35	-0.04254274311233859	-0.2654039710040682	0.19208311862385521	0.6375	-0.19087743802583457	23.09928057553957
log-spl6-percpmu.mapjitter.klw	Risky second	2	ips	0.5573778487584502	0.3602748112824738	0.7637661063085674	0.6636328253270827	35	-0.034574779756686984	-0.32078832003401114	0.2477727718373135	0.6025	-0.08177991376276184	42.263988522238165
log-spl6-percpmu.mapjitter.klw	Risky second	2	vertex	0.5919526285151373	0.4066623650347954	0.7847145233699335	0.7454127390898445	35	-0.034574779756686984	-0.32078832003401114	0.2477727718373135	0.6025	-0.08177991376276184	42.24390243902439
