label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power+weber-percpmu.mapjitter.klw	Risky first	0	ips	0.5640792556895167	0.5270277634179669	0.6024120571673645	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-power+weber-percpmu.mapjitter.klw	Risky first	0	vertex	0.546196647191572	0.5065821914092591	0.584845238095238	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-power+weber-percpmu.mapjitter.klw	Risky first	1	ips	0.5432156923694518	0.5114053857587693	0.5786962129349347	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-power+weber-percpmu.mapjitter.klw	Risky first	1	vertex	0.5242250651935415	0.4901321504678426	0.5564502265020841	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-power+weber-percpmu.mapjitter.klw	Risky first	2	ips	0.5074914464190781	0.4687091023012076	0.5468931989063568	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-power+weber-percpmu.mapjitter.klw	Risky first	2	vertex	0.4897292438985163	0.4520445878510894	0.5261643871264614	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-power+weber-percpmu.mapjitter.klw	Risky second	0	ips	0.5362380700126941	0.4968360403172433	0.5700874100836507	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-power+weber-percpmu.mapjitter.klw	Risky second	0	vertex	0.5160128644121126	0.47959082771864725	0.555603299373976	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-power+weber-percpmu.mapjitter.klw	Risky second	1	ips	0.5973495956117695	0.5648847756008305	0.6338072348556648	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-power+weber-percpmu.mapjitter.klw	Risky second	1	vertex	0.5740142249563303	0.5403231184020657	0.6072090073669021	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-power+weber-percpmu.mapjitter.klw	Risky second	2	ips	0.6255335964369799	0.5890141533487399	0.66005622823292	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-power+weber-percpmu.mapjitter.klw	Risky second	2	vertex	0.6055603307511203	0.5676311422495633	0.6450610997189945	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
