label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl5-percmem.pathfinder	Risky first	1	-0.005803968253968253	-0.07214285714285715	0.05590476190476188	0.425	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl5-percmem.pathfinder	Risky first	2	-0.006339654195011337	-0.06802465986394557	0.05465079365079364	0.4475	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl5-percmem.pathfinder	Risky first	3	-0.004944047619047618	-0.07318253968253968	0.06238492063492064	0.4225	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl5-percmem.pathfinder	Risky first	4	0.0022539682539682564	-0.07217460317460317	0.07922619047619046	0.53	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl5-percmem.pathfinder	Risky first	5	0.011066496598639458	-0.05291496598639455	0.07643339002267571	0.62	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl5-percmem.pathfinder	Risky first	6	0.02003452380952381	-0.03813095238095238	0.08246031746031746	0.725	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl5-percmem.pathfinder	Risky second	1	0.008694444444444444	-0.05627777777777778	0.06921428571428571	0.6325	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl5-percmem.pathfinder	Risky second	2	0.011001814058956918	-0.054705215419501116	0.08134807256235825	0.6325	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl5-percmem.pathfinder	Risky second	3	0.009015873015873015	-0.05391666666666666	0.07953968253968252	0.59	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl5-percmem.pathfinder	Risky second	4	0.011810714285714284	-0.05184126984126985	0.07477182539682539	0.6525	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl5-percmem.pathfinder	Risky second	5	0.020055924036281175	-0.04060204081632653	0.07350396825396825	0.755	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl5-percmem.pathfinder	Risky second	6	0.025980952380952386	-0.03428571428571428	0.080047619047619	0.8225	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
