label	order	n_safe	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-power-percmem.mapjitter.klw	Risky first	7.0	-0.0036504329004328996	-0.06339069264069264	0.06321861471861465	0.45	-0.003564213564213565	0.03609656059327895	2.250946643717728	11.378313253012049
log-power-percmem.mapjitter.klw	Risky first	10.0	-0.00296082251082251	-0.06477056277056277	0.05644480519480513	0.4525	0.019004329004329006	0.031872359979577984	2.2675937122128174	16.337968561064088
log-power-percmem.mapjitter.klw	Risky first	14.0	-0.0007678571428571432	-0.05940151515151515	0.05846103896103894	0.47	-0.004632034632034642	0.041446960759510966	2.280140627679643	22.960984393757503
log-power-percmem.mapjitter.klw	Risky first	20.0	0.0033380952380952372	-0.06332900432900432	0.06970670995670991	0.53	-0.027489177489177494	0.042985399933987666	2.2894357743097236	32.89435774309724
log-power-percmem.mapjitter.klw	Risky first	28.0	0.007423268398268398	-0.05315909090909091	0.06529112554112548	0.595	0.04402597402597404	0.04149585065705767	2.2939791024323397	46.11570743405276
log-power-percmem.mapjitter.klw	Risky second	7.0	0.004428571428571429	-0.05462121212121212	0.053273809523809494	0.57	0.09588744588744588	0.04111927498400671	2.2501283147989737	11.375449101796407
log-power-percmem.mapjitter.klw	Risky second	10.0	0.003976515151515151	-0.05548593073593073	0.06187662337662338	0.5225	0.010995670995671003	0.03478012487003009	2.273671497584541	16.368357487922705
log-power-percmem.mapjitter.klw	Risky second	14.0	0.011617965367965367	-0.04893398268398268	0.07813852813852813	0.645	0.07272727272727272	0.042458333277957935	2.2816180235535075	22.97132616487455
log-power-percmem.mapjitter.klw	Risky second	20.0	0.015140692640692642	-0.04687770562770562	0.07880411255411254	0.6825	0.04675324675324675	0.04130364313616211	2.292840095465394	32.92840095465394
log-power-percmem.mapjitter.klw	Risky second	28.0	0.02020833333333333	-0.04047619047619047	0.0810119047619047	0.7425	0.03809523809523809	0.03959748120196977	2.298469387755102	46.17857142857143
