label	order	stake_grp	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n1psd	Risky first	0	1	ips	0.31299226190476187	0.25234523809523807	0.3707380952380952	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666	11.035555555555556
log-power-n1psd	Risky first	0	1	vertex	0.31177704081632657	0.2514515306122449	0.36913605442176867	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627	11.026905829596412
log-power-n1psd	Risky first	0	2	ips	0.41898333333333326	0.35523809523809524	0.4828809523809523	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831	10.300469483568076
log-power-n1psd	Risky first	0	2	vertex	0.4098738095238095	0.3495	0.47528571428571426	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014	10.33175355450237
log-power-n1psd	Risky first	0	3	ips	0.5414416666666667	0.47806547619047624	0.5990535714285714	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194	10.317535545023697
log-power-n1psd	Risky first	0	3	vertex	0.5314380952380953	0.46855952380952376	0.6004761904761905	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259	10.320574162679426
log-power-n1psd	Risky first	0	4	ips	0.6935630952380951	0.6252261904761905	0.7600119047619047	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537	9.371951219512194
log-power-n1psd	Risky first	0	4	vertex	0.6784880952380952	0.6084761904761905	0.751	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296	9.339506172839506
log-power-n1psd	Risky first	0	5	ips	0.7902321428571429	0.7285714285714285	0.85	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898	8.521739130434783
log-power-n1psd	Risky first	0	5	vertex	0.7824107142857143	0.7260714285714287	0.845297619047619	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118	8.5
log-power-n1psd	Risky first	0	6	ips	0.8737132352941177	0.8088235294117647	0.9265931372549019	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224	8.379032258064516
log-power-n1psd	Risky first	0	6	vertex	0.8663051470588237	0.8039215686274509	0.9167279411764706	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484	8.379032258064516
log-power-n1psd	Risky first	1	1	ips	0.22226785714285718	0.16428571428571428	0.2857142857142857	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power-n1psd	Risky first	1	1	vertex	0.22789285714285715	0.17142857142857143	0.29285714285714287	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power-n1psd	Risky first	1	2	ips	0.3054821428571428	0.2355357142857143	0.37142857142857144	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854	24.0
