label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-perc.klw	Risky first	1	ips	0.31341984126984124	0.26026984126984126	0.3609603174603174	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-power-perc.klw	Risky first	1	vertex	0.30793253968253964	0.25931746031746034	0.3546111111111111	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-power-perc.klw	Risky first	2	ips	0.39524036281179137	0.3499569160997733	0.44250226757369615	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-power-perc.klw	Risky first	2	vertex	0.3928423469387755	0.341577664399093	0.44327806122448976	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-power-perc.klw	Risky first	3	ips	0.492713492063492	0.4402539682539683	0.5409880952380952	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-power-perc.klw	Risky first	3	vertex	0.49001904761904763	0.44090873015873017	0.5426984126984127	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-power-perc.klw	Risky first	4	ips	0.5848880952380953	0.5288809523809525	0.6323968253968254	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-power-perc.klw	Risky first	4	vertex	0.5817174603174603	0.533970238095238	0.6297916666666666	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-power-perc.klw	Risky first	5	ips	0.6658768707482993	0.6159421768707484	0.7199727891156462	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-power-perc.klw	Risky first	5	vertex	0.6591829365079366	0.6068253968253968	0.7084404761904761	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-power-perc.klw	Risky first	6	ips	0.7363964285714286	0.6844444444444444	0.7846051587301588	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-power-perc.klw	Risky first	6	vertex	0.7249621031746031	0.6799761904761905	0.7688968253968254	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-power-perc.klw	Risky second	1	ips	0.3393801587301587	0.28697619047619044	0.3886190476190476	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-power-perc.klw	Risky second	1	vertex	0.33098888888888894	0.2841269841269841	0.3774761904761905	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-power-perc.klw	Risky second	2	ips	0.4330943310657597	0.381297052154195	0.4829024943310657	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-power-perc.klw	Risky second	2	vertex	0.4259570294784581	0.3756643990929705	0.4741133786848073	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-power-perc.klw	Risky second	3	ips	0.5403404761904762	0.48615476190476187	0.5909761904761905	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-power-perc.klw	Risky second	3	vertex	0.5380420634920635	0.4910714285714286	0.5884444444444444	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-power-perc.klw	Risky second	4	ips	0.6447371031746032	0.5926011904761904	0.6958035714285714	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-power-perc.klw	Risky second	4	vertex	0.6412357142857144	0.5913571428571428	0.6857857142857142	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-power-perc.klw	Risky second	5	ips	0.7317472789115647	0.6794943310657596	0.7765986394557823	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-power-perc.klw	Risky second	5	vertex	0.7225041666666666	0.6767380952380952	0.766640873015873	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-power-perc.klw	Risky second	6	ips	0.8001142857142858	0.7485714285714286	0.8428571428571429	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-power-perc.klw	Risky second	6	vertex	0.7877928571428572	0.7456666666666667	0.8314285714285715	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
