label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-cspl5-percpmu.mapjitter.klw	Risky first	0	ips	0.561451162187363	0.5241718381132356	0.6014343903430591	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-cspl5-percpmu.mapjitter.klw	Risky first	0	vertex	0.5422682062298604	0.5034120582842387	0.579078529657477	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-cspl5-percpmu.mapjitter.klw	Risky first	1	ips	0.5340256998014518	0.4967383203680196	0.5701076907637058	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-cspl5-percpmu.mapjitter.klw	Risky first	1	vertex	0.5264213571233917	0.49408846648707333	0.5617542133280744	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-cspl5-percpmu.mapjitter.klw	Risky first	2	ips	0.5103597117794486	0.4706398002582213	0.5479210146578567	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-cspl5-percpmu.mapjitter.klw	Risky first	2	vertex	0.4967099793825026	0.4620921599899928	0.5355745513516411	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-cspl5-percpmu.mapjitter.klw	Risky second	0	ips	0.5397699435276503	0.5067466149139082	0.5741515504128286	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-cspl5-percpmu.mapjitter.klw	Risky second	0	vertex	0.5078110601178271	0.47311709197235513	0.5436247843635061	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-cspl5-percpmu.mapjitter.klw	Risky second	1	ips	0.6074989165363115	0.5742926448091198	0.6446145349686924	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-cspl5-percpmu.mapjitter.klw	Risky second	1	vertex	0.5775628275233538	0.5410323346244399	0.6134636591478697	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-cspl5-percpmu.mapjitter.klw	Risky second	2	ips	0.6227795053108963	0.5866424665560004	0.6592882069893348	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-cspl5-percpmu.mapjitter.klw	Risky second	2	vertex	0.5957778746107694	0.5565759474443684	0.6301789131920711	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
