label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-weber-n1.klw	Risky first	1	-0.02030952380952381	-0.08603968253968254	0.045444444444444405	0.2575	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-weber-n1.klw	Risky first	2	-0.01601329365079365	-0.08225850340136054	0.04989229024943309	0.3075	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-weber-n1.klw	Risky first	3	-0.0073666666666666655	-0.07942063492063492	0.05742460317460307	0.445	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-weber-n1.klw	Risky first	4	-0.0016232142857142832	-0.07073214285714285	0.06307936507936503	0.4625	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-weber-n1.klw	Risky first	5	0.002563633786848073	-0.06042148526077098	0.0747162698412698	0.5175	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-weber-n1.klw	Risky first	6	0.005539484126984128	-0.061531746031746035	0.06804960317460314	0.585	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-weber-n1.klw	Risky second	1	0.00578095238095238	-0.060039682539682546	0.06603968253968252	0.5725	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-weber-n1.klw	Risky second	2	0.010237301587301587	-0.05266439909297052	0.0798129251700679	0.6175	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-weber-n1.klw	Risky second	3	0.01251111111111111	-0.055424603174603175	0.08849603174603166	0.6325	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-weber-n1.klw	Risky second	4	0.014551785714285715	-0.0619345238095238	0.08374603174603172	0.66	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-weber-n1.klw	Risky second	5	0.013220323129251704	-0.05191326530612244	0.07516014739229018	0.6625	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-weber-n1.klw	Risky second	6	0.009821428571428571	-0.04666666666666666	0.07428571428571427	0.635	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
