label	order	stake_bin	stim	slope	lo	hi	observed	stake_chf	n_trials	d_slope_observed	d_slope	lo_contrast	hi_contrast	p_lt0	stake_chf_contrast
log-cspl5-percpmu.mapjitter.klw	Risky first	0	ips	0.44591539352526555	0.3341898599870672	0.5617103542415979	0.5726447448718716	12.647988505747126	696	-0.061416750116486396	-0.08489035049188569	-0.2118398443995054	0.0601117505101039	0.89	12.658976207642393
log-cspl5-percpmu.mapjitter.klw	Risky first	0	vertex	0.5308057440171512	0.43412792760546054	0.6299340917819328	0.634061494988358	12.670043415340087	691	-0.061416750116486396	-0.08489035049188569	-0.2118398443995054	0.0601117505101039	0.89	12.658976207642393
log-cspl5-percpmu.mapjitter.klw	Risky first	1	ips	0.3821773164139377	0.2847252878929703	0.4799825135015535	0.48139778942782585	23.08393113342898	697	-0.011754715115601888	-0.06566068649936611	-0.20082372201996115	0.07273032878584479	0.81	23.03832248734635
log-cspl5-percpmu.mapjitter.klw	Risky first	1	vertex	0.4478380029133038	0.34225722211467413	0.5513688429297712	0.49315250454342774	22.99198250728863	686	-0.011754715115601888	-0.06566068649936611	-0.20082372201996115	0.07273032878584479	0.81	23.03832248734635
log-cspl5-percpmu.mapjitter.klw	Risky first	2	ips	0.17324095673640877	0.06049655664642832	0.27955951883423047	0.23221653369331777	42.27161383285303	694	0.0213864321101917	-0.03686519540715868	-0.17110723130227112	0.10241107835864287	0.6875	42.19430425378515
log-cspl5-percpmu.mapjitter.klw	Risky first	2	vertex	0.21010615214356743	0.1160194362647245	0.3186134412680662	0.21083010158312607	42.116883116883116	693	0.0213864321101917	-0.03686519540715868	-0.17110723130227112	0.10241107835864287	0.6875	42.19430425378515
log-cspl5-percpmu.mapjitter.klw	Risky second	0	ips	0.5138172236166786	0.39891550407110515	0.6115855909030881	0.5535422762288243	12.667142857142856	700	-0.18798032163285872	-0.11457719015220992	-0.24486202338073532	0.024978667054697146	0.9575	12.677857142857142
log-cspl5-percpmu.mapjitter.klw	Risky second	0	vertex	0.6283944137688885	0.5165957665634238	0.7222661429040598	0.7415225978616831	12.688571428571429	700	-0.18798032163285872	-0.11457719015220992	-0.24486202338073532	0.024978667054697146	0.9575	12.677857142857142
log-cspl5-percpmu.mapjitter.klw	Risky second	1	ips	0.2825074127452214	0.1736194328731721	0.3775215482305628	0.29270400382215733	23.160377358490567	689	-0.14778942258236893	-0.07558580087501347	-0.2002503869683839	0.05920189031840968	0.875	23.129696531791907
log-cspl5-percpmu.mapjitter.klw	Risky second	1	vertex	0.3580932136202349	0.2644292333749603	0.45350295795883677	0.44049342640452627	23.09928057553957	695	-0.14778942258236893	-0.07558580087501347	-0.2002503869683839	0.05920189031840968	0.875	23.129696531791907
log-cspl5-percpmu.mapjitter.klw	Risky second	2	ips	0.14336127337924437	0.022861748187242643	0.24431303498947518	0.12211657687000906	42.263988522238165	697	-0.03299622260997469	-0.01167906641218789	-0.16322080624401794	0.13137129455618454	0.5725	42.25394548063128
log-cspl5-percpmu.mapjitter.klw	Risky second	2	vertex	0.1550403397914323	0.047250679762645395	0.2618887013620061	0.15511279947998374	42.24390243902439	697	-0.03299622260997469	-0.01167906641218789	-0.16322080624401794	0.13137129455618454	0.5725	42.25394548063128
