label	order	stake_grp	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n2.mapjitter.ti0.15	Risky first	0	1	ips	0.3043458333333333	0.24226190476190476	0.3600297619047619	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666	11.035555555555556
log-power-n2.mapjitter.ti0.15	Risky first	0	1	vertex	0.3180119897959184	0.2609302721088435	0.38013180272108843	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627	11.026905829596412
log-power-n2.mapjitter.ti0.15	Risky first	0	2	ips	0.41025	0.3523095238095238	0.4714523809523809	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831	10.300469483568076
log-power-n2.mapjitter.ti0.15	Risky first	0	2	vertex	0.42738809523809523	0.3695	0.48576190476190473	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014	10.33175355450237
log-power-n2.mapjitter.ti0.15	Risky first	0	3	ips	0.5328994047619048	0.4685714285714285	0.598125	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194	10.317535545023697
log-power-n2.mapjitter.ti0.15	Risky first	0	3	vertex	0.5544333333333333	0.4935297619047619	0.6131249999999999	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259	10.320574162679426
log-power-n2.mapjitter.ti0.15	Risky first	0	4	ips	0.6801702380952382	0.6052261904761905	0.7495357142857143	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537	9.371951219512194
log-power-n2.mapjitter.ti0.15	Risky first	0	4	vertex	0.7061	0.6423690476190477	0.7781309523809524	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296	9.339506172839506
log-power-n2.mapjitter.ti0.15	Risky first	0	5	ips	0.7790892857142857	0.7141071428571428	0.8501785714285712	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898	8.521739130434783
log-power-n2.mapjitter.ti0.15	Risky first	0	5	vertex	0.8077678571428573	0.738095238095238	0.8642857142857143	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118	8.5
log-power-n2.mapjitter.ti0.15	Risky first	0	6	ips	0.8626348039215687	0.8014705882352942	0.9216299019607842	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224	8.379032258064516
log-power-n2.mapjitter.ti0.15	Risky first	0	6	vertex	0.8869117647058823	0.8357843137254902	0.9363357843137254	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484	8.379032258064516
log-power-n2.mapjitter.ti0.15	Risky first	1	1	ips	0.23351785714285714	0.17125	0.30714285714285716	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power-n2.mapjitter.ti0.15	Risky first	1	1	vertex	0.22291071428571427	0.15696428571428572	0.29285714285714287	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power-n2.mapjitter.ti0.15	Risky first	1	2	ips	0.31273214285714285	0.25	0.37857142857142856	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854	24.0
log-power-n2.mapjitter.ti0.15	Risky first	1	2	vertex	0.30205952380952383	0.2356547619047619	0.3716071428571427	0.30476190476190473	0.05180482760063736	1.8022419186652763	33.58759124087591	23.970802919708028
log-power-n2.mapjitter.ti0.15	Risky first	1	3	ips	0.41151785714285716	0.32857142857142857	0.4857142857142857	0.38571428571428573	0.0526032968808714	2.065714285714286	36.8	24.0
log-power-n2.mapjitter.ti0.15	Risky first	1	3	vertex	0.397297619047619	0.32857142857142857	0.4644047619047618	0.3761904761904762	0.06143432539876667	2.066546762589928	36.85251798561151	24.028776978417266
log-power-n2.mapjitter.ti0.15	Risky first	1	4	ips	0.5345119047619047	0.45714285714285713	0.6024404761904761	0.530952380952381	0.052492242355764794	2.3930900621118014	36.619565217391305	21.608695652173914
