label	order	stake_bin	stim	slope	lo	hi	observed	n_subjects	d_slope	lo_contrast	hi_contrast	p_lt0	d_slope_observed	stake_chf
log-power+weber-percmempmu.mapjitter.klw	Risky first	0	ips	0.7243710563689407	0.5226000273541808	0.9067385417760199	0.8885830806718236	35	-0.01937411533700206	-0.2503638019461664	0.20194020930167111	0.5625	0.033574757163430724	12.647988505747126
log-power+weber-percmempmu.mapjitter.klw	Risky first	0	vertex	0.7437451717059428	0.5771771650693492	0.8998964765993765	0.8550083235083928	35	-0.01937411533700206	-0.2503638019461664	0.20194020930167111	0.5625	0.033574757163430724	12.670043415340087
log-power+weber-percmempmu.mapjitter.klw	Risky first	1	ips	0.7304366378196658	0.561875951250331	0.9007024553428483	0.941889085776863	35	-0.03627388539635964	-0.2702731590519945	0.1889598356134277	0.6225	0.043427277693693034	23.08393113342898
log-power+weber-percmempmu.mapjitter.klw	Risky first	1	vertex	0.7667105232160256	0.6022517067093852	0.9213285262117766	0.89846180808317	35	-0.03627388539635964	-0.2702731590519945	0.1889598356134277	0.6225	0.043427277693693034	22.99198250728863
log-power+weber-percmempmu.mapjitter.klw	Risky first	2	ips	0.579943920557159	0.36136418021873523	0.7910219548168116	0.8717315848873645	35	-0.011806488199769658	-0.27844752617936064	0.25317881405364695	0.5475	-0.0898690131339469	42.27161383285303
log-power+weber-percmempmu.mapjitter.klw	Risky first	2	vertex	0.5917504087569287	0.3991016047605346	0.771780828830428	0.9616005980213114	35	-0.011806488199769658	-0.27844752617936064	0.25317881405364695	0.5475	-0.0898690131339469	42.116883116883116
log-power+weber-percmempmu.mapjitter.klw	Risky second	0	ips	0.7824090653878641	0.5740175120413853	0.9628563602308196	0.9915735592313322	35	-0.04913623556225577	-0.30254022325363444	0.16074612879656427	0.6275	0.06585172084157309	12.667142857142856
log-power+weber-percmempmu.mapjitter.klw	Risky second	0	vertex	0.8315453009501199	0.6667176685222049	0.9862951888969759	0.9257218383897591	35	-0.04913623556225577	-0.30254022325363444	0.16074612879656427	0.6275	0.06585172084157309	12.688571428571429
log-power+weber-percmempmu.mapjitter.klw	Risky second	1	ips	0.7090328330487907	0.4977851249946727	0.8886931021931536	0.6985017255518281	35	-0.04461374224908214	-0.27931752572623214	0.17049471314028625	0.6325	-0.19087743802583457	23.160377358490567
log-power+weber-percmempmu.mapjitter.klw	Risky second	1	vertex	0.7536465752978728	0.5880533851622852	0.9086139177877682	0.8893791635776627	35	-0.04461374224908214	-0.27931752572623214	0.17049471314028625	0.6325	-0.19087743802583457	23.09928057553957
log-power+weber-percmempmu.mapjitter.klw	Risky second	2	ips	0.5702252842168933	0.3815563929427952	0.775381946829362	0.6636328253270827	35	-0.027993063803468842	-0.2957715374406814	0.2622806235675566	0.6025	-0.08177991376276184	42.263988522238165
log-power+weber-percmempmu.mapjitter.klw	Risky second	2	vertex	0.5982183480203621	0.3891150793535814	0.8097687317866987	0.7454127390898445	35	-0.027993063803468842	-0.2957715374406814	0.2622806235675566	0.6025	-0.08177991376276184	42.24390243902439
