label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl3-nullind.klw	Risky first	0	ips	0.5490378602637227	0.5101024250210451	0.5874636811662464	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-spl3-nullind.klw	Risky first	0	vertex	0.5511055520294242	0.5140259930128351	0.5876379341210168	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-spl3-nullind.klw	Risky first	1	ips	0.5280661461554318	0.49507153706777773	0.5628925045297225	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-spl3-nullind.klw	Risky first	1	vertex	0.527183349990714	0.49011189021062973	0.5606166476159842	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-spl3-nullind.klw	Risky first	2	ips	0.5088177830940989	0.4715916875522139	0.5455259360522517	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-spl3-nullind.klw	Risky first	2	vertex	0.5076203629617716	0.47090340266888253	0.5455573604242334	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-spl3-nullind.klw	Risky second	0	ips	0.5298904227560243	0.490567235187536	0.56397113997114	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-spl3-nullind.klw	Risky second	0	vertex	0.5305057522051883	0.49670436914797816	0.5667974346038256	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-spl3-nullind.klw	Risky second	1	ips	0.5922710891852754	0.5602021497594254	0.6238415637387331	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-spl3-nullind.klw	Risky second	1	vertex	0.5877533283967494	0.5561009721272879	0.623298207640313	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-spl3-nullind.klw	Risky second	2	ips	0.5988836696720156	0.5630763570180864	0.6376768273497597	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-spl3-nullind.klw	Risky second	2	vertex	0.6030137237031974	0.5632941444520392	0.6422468102073365	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
