label	order	stake2	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl7-percmem.pathfinder	Risky first	0	1	ips	0.31672380952380946	0.25426190476190474	0.3755119047619047	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666
log-spl7-percmem.pathfinder	Risky first	0	1	vertex	0.31575799319727893	0.25363435374149657	0.3734039115646258	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627
log-spl7-percmem.pathfinder	Risky first	0	2	ips	0.41868809523809525	0.35904761904761906	0.4828571428571428	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831
log-spl7-percmem.pathfinder	Risky first	0	2	vertex	0.4211833333333333	0.35995238095238097	0.489547619047619	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014
log-spl7-percmem.pathfinder	Risky first	0	3	ips	0.5363232142857143	0.4732440476190476	0.5945476190476191	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194
log-spl7-percmem.pathfinder	Risky first	0	3	vertex	0.5450422619047619	0.4823571428571428	0.613345238095238	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259
log-spl7-percmem.pathfinder	Risky first	0	4	ips	0.6778059523809523	0.6061428571428571	0.7447619047619047	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537
log-spl7-percmem.pathfinder	Risky first	0	4	vertex	0.6854488095238096	0.618047619047619	0.7557499999999999	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296
log-spl7-percmem.pathfinder	Risky first	0	5	ips	0.7744821428571429	0.7141071428571428	0.8428571428571429	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898
log-spl7-percmem.pathfinder	Risky first	0	5	vertex	0.7800714285714285	0.7142261904761905	0.8428571428571429	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118
log-spl7-percmem.pathfinder	Risky first	0	6	ips	0.8573284313725489	0.7990196078431373	0.9117647058823529	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224
log-spl7-percmem.pathfinder	Risky first	0	6	vertex	0.8548651960784314	0.7990196078431373	0.9069240196078431	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484
log-spl7-percmem.pathfinder	Risky first	1	1	ips	0.21930357142857143	0.15696428571428572	0.2857142857142857	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516
log-spl7-percmem.pathfinder	Risky first	1	1	vertex	0.23033928571428572	0.16428571428571428	0.3	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516
log-spl7-percmem.pathfinder	Risky first	1	2	ips	0.29694642857142856	0.22857142857142856	0.35714285714285715	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854
log-spl7-percmem.pathfinder	Risky first	1	2	vertex	0.3061130952380952	0.2332738095238095	0.38571428571428573	0.30476190476190473	0.05180482760063736	1.8022419186652763	33.58759124087591
log-spl7-percmem.pathfinder	Risky first	1	3	ips	0.40225	0.3142857142857143	0.4714285714285714	0.38571428571428573	0.0526032968808714	2.065714285714286	36.8
log-spl7-percmem.pathfinder	Risky first	1	3	vertex	0.39733928571428573	0.32142857142857145	0.47624999999999995	0.3761904761904762	0.06143432539876667	2.066546762589928	36.85251798561151
