label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-affine-perc.klw	Risky first	0	ips	0.5587979347081735	0.5183681960822607	0.5964566504432713	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-affine-perc.klw	Risky first	0	vertex	0.5545667084377611	0.5212002354370775	0.5901088489622324	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-affine-perc.klw	Risky first	1	ips	0.5304294385856416	0.4982507187883128	0.5652744008289121	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-affine-perc.klw	Risky first	1	vertex	0.524754704960134	0.4899664514928778	0.5623756735549084	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-affine-perc.klw	Risky first	2	ips	0.5021507252980937	0.4625010063036379	0.5421824827219563	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-affine-perc.klw	Risky first	2	vertex	0.4955567578706123	0.4602118140717212	0.535030603469458	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-affine-perc.klw	Risky second	0	ips	0.5306928758584774	0.49152065499245956	0.564450837591815	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-affine-perc.klw	Risky second	0	vertex	0.5274699758053142	0.49252027796764636	0.5630487989454154	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-affine-perc.klw	Risky second	1	ips	0.5896171412265065	0.5572146188618988	0.6232454155505902	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-affine-perc.klw	Risky second	1	vertex	0.5819932577656262	0.5476072757651704	0.6125648781043518	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-affine-perc.klw	Risky second	2	ips	0.6191404710368996	0.5829941791708709	0.6586225032277664	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-affine-perc.klw	Risky second	2	vertex	0.6094708589655958	0.5710723209538998	0.6476212121212122	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
