label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-spl5-n1n2.mapjitter.klw	Risky first	0	ips	0.5432547227343888	0.506569524141395	0.5780031294814576	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-spl5-n1n2.mapjitter.klw	Risky first	0	vertex	0.5503924776768762	0.5179818051622562	0.5868264763640704	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-spl5-n1n2.mapjitter.klw	Risky first	1	ips	0.5278431500829996	0.49290281439529554	0.5603277376341286	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-spl5-n1n2.mapjitter.klw	Risky first	1	vertex	0.5345432231106159	0.4991336205933729	0.5716287267698148	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-spl5-n1n2.mapjitter.klw	Risky first	2	ips	0.5151924394319132	0.47487350953140434	0.5552604617604618	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-spl5-n1n2.mapjitter.klw	Risky first	2	vertex	0.507458543975804	0.46804988518533414	0.5435260388046766	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-spl5-n1n2.mapjitter.klw	Risky second	0	ips	0.5346795175167355	0.492120327875967	0.5684645949288807	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-spl5-n1n2.mapjitter.klw	Risky second	0	vertex	0.5225614243943191	0.48380151135414295	0.5547005744881686	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-spl5-n1n2.mapjitter.klw	Risky second	1	ips	0.6033366715904863	0.5715264255622505	0.638527011921196	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-spl5-n1n2.mapjitter.klw	Risky second	1	vertex	0.5902953159413685	0.5592015265436319	0.6289105339105339	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-spl5-n1n2.mapjitter.klw	Risky second	2	ips	0.6118852363592966	0.5757232773492171	0.6504727647039676	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-spl5-n1n2.mapjitter.klw	Risky second	2	vertex	0.5945223532315638	0.5510949912660439	0.6321783056125161	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
