label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-weber-n1n2	Risky first	0	ips	0.5585013869822251	0.5220187352452943	0.5961925213466567	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-weber-n1n2	Risky first	0	vertex	0.5718978184096605	0.5372153842398203	0.6067193524937885	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-weber-n1n2	Risky first	1	ips	0.5283612727706712	0.494987281515477	0.5611252617474423	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-weber-n1n2	Risky first	1	vertex	0.5379294735916695	0.5040708417338227	0.572650926080161	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-weber-n1n2	Risky first	2	ips	0.505717262854105	0.46606062504746715	0.5436935330751119	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-weber-n1n2	Risky first	2	vertex	0.5066634268380398	0.4678183471155607	0.5439882214448778	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-weber-n1n2	Risky second	0	ips	0.5426042587529429	0.5045367124521261	0.5748441422821122	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-weber-n1n2	Risky second	0	vertex	0.5224765376645075	0.48851227636190037	0.5607244328353351	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-weber-n1n2	Risky second	1	ips	0.5933214440321584	0.5634655780972676	0.6261053046417929	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-weber-n1n2	Risky second	1	vertex	0.5758818200805043	0.540585744664692	0.6101116047694994	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-weber-n1n2	Risky second	2	ips	0.6334984935281928	0.5959137047163363	0.668218839848539	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-weber-n1n2	Risky second	2	vertex	0.6292530701754386	0.5918612250322776	0.6627115136325662	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
