label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-psd.klw	Risky first	0	ips	0.5527421767111949	0.5152054379965703	0.5866678365125955	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-power-psd.klw	Risky first	0	vertex	0.5471567891590448	0.5094268517614382	0.5889151585674143	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-power-psd.klw	Risky first	1	ips	0.5373465891460253	0.5059048025908928	0.5734673263244692	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-power-psd.klw	Risky first	1	vertex	0.5220295920441541	0.4845048437237734	0.5556766113143822	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-power-psd.klw	Risky first	2	ips	0.521996557682084	0.48392623604465707	0.5581310663021191	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-power-psd.klw	Risky first	2	vertex	0.5009101587524962	0.465518193880423	0.5404851924820964	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-power-psd.klw	Risky second	0	ips	0.5346044833403856	0.49418759832481635	0.5698295196866625	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-power-psd.klw	Risky second	0	vertex	0.5234197457930541	0.48693832796276404	0.5565240916143172	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-power-psd.klw	Risky second	1	ips	0.60029349002759	0.5692733532009294	0.6323341944433276	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-power-psd.klw	Risky second	1	vertex	0.5748230044808992	0.5392709425077846	0.6097740943267258	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-power-psd.klw	Risky second	2	ips	0.6217206783191744	0.5853198635115928	0.6595027829313543	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-power-psd.klw	Risky second	2	vertex	0.5948384654818866	0.5570876813245235	0.6369251537935748	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
