label	order	stake_grp	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-cspl5-percmem.mapjitter.klw	Risky first	0	1	ips	0.3505880952380952	0.27232738095238096	0.4264285714285714	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666	11.035555555555556
log-cspl5-percmem.mapjitter.klw	Risky first	0	1	vertex	0.3377553571428571	0.27761309523809524	0.4021845238095238	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627	11.026905829596412
log-cspl5-percmem.mapjitter.klw	Risky first	0	2	ips	0.44087380952380956	0.379	0.5057857142857142	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831	10.300469483568076
log-cspl5-percmem.mapjitter.klw	Risky first	0	2	vertex	0.43429761904761904	0.37235714285714283	0.4961904761904762	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014	10.33175355450237
log-cspl5-percmem.mapjitter.klw	Risky first	0	3	ips	0.5362607142857143	0.46996428571428567	0.5978571428571429	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194	10.317535545023697
log-cspl5-percmem.mapjitter.klw	Risky first	0	3	vertex	0.5389380952380952	0.4747559523809524	0.5979166666666667	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259	10.320574162679426
log-cspl5-percmem.mapjitter.klw	Risky first	0	4	ips	0.6518559523809525	0.5818333333333333	0.7205119047619046	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537	9.371951219512194
log-cspl5-percmem.mapjitter.klw	Risky first	0	4	vertex	0.6552178571428571	0.5866071428571429	0.7281309523809524	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296	9.339506172839506
log-cspl5-percmem.mapjitter.klw	Risky first	0	5	ips	0.7345535714285714	0.6642857142857143	0.8074999999999997	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898	8.521739130434783
log-cspl5-percmem.mapjitter.klw	Risky first	0	5	vertex	0.7378333333333333	0.6714285714285714	0.8048214285714286	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118	8.5
log-cspl5-percmem.mapjitter.klw	Risky first	0	6	ips	0.8103492647058823	0.732843137254902	0.8823529411764706	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224	8.379032258064516
log-cspl5-percmem.mapjitter.klw	Risky first	0	6	vertex	0.8091299019607843	0.7450367647058824	0.872610294117647	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484	8.379032258064516
log-cspl5-percmem.mapjitter.klw	Risky first	1	1	ips	0.2581428571428571	0.1998214285714286	0.32857142857142857	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-cspl5-percmem.mapjitter.klw	Risky first	1	1	vertex	0.2710535714285714	0.2	0.35017857142857123	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-cspl5-percmem.mapjitter.klw	Risky first	1	2	ips	0.33425	0.2714285714285714	0.4073214285714284	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854	24.0
log-cspl5-percmem.mapjitter.klw	Risky first	1	2	vertex	0.3411071428571429	0.26190476190476186	0.4238095238095238	0.30476190476190473	0.05180482760063736	1.8022419186652763	33.58759124087591	23.970802919708028
log-cspl5-percmem.mapjitter.klw	Risky first	1	3	ips	0.4260535714285714	0.34285714285714286	0.5001785714285713	0.38571428571428573	0.0526032968808714	2.065714285714286	36.8	24.0
log-cspl5-percmem.mapjitter.klw	Risky first	1	3	vertex	0.4239702380952381	0.3522619047619048	0.5001785714285713	0.3761904761904762	0.06143432539876667	2.066546762589928	36.85251798561151	24.028776978417266
log-cspl5-percmem.mapjitter.klw	Risky first	1	4	ips	0.5330595238095238	0.46660714285714283	0.6000595238095238	0.530952380952381	0.052492242355764794	2.3930900621118014	36.619565217391305	21.608695652173914
log-cspl5-percmem.mapjitter.klw	Risky first	1	4	vertex	0.527272619047619	0.45476190476190476	0.595297619047619	0.5238095238095237	0.05650613988058596	2.381031746031746	36.43333333333333	21.58888888888889
log-cspl5-percmem.mapjitter.klw	Risky first	1	5	ips	0.6166880952380953	0.5523571428571428	0.6876904761904761	0.68	0.05133511583357984	2.7493098688750863	38.84782608695652	20.705314009661837
log-cspl5-percmem.mapjitter.klw	Risky first	1	5	vertex	0.6076333333333334	0.5399523809523809	0.669642857142857	0.6323809523809524	0.04907140920414363	2.7449175824175827	38.79326923076923	20.701923076923077
log-cspl5-percmem.mapjitter.klw	Risky first	1	6	ips	0.6973595238095238	0.6394880952380952	0.7556071428571428	0.7364285714285714	0.04340906670457449	3.2327847267939434	42.63824884792627	20.23963133640553
log-cspl5-percmem.mapjitter.klw	Risky first	1	6	vertex	0.6799772959183673	0.6207202380952381	0.7346811224489795	0.7498639455782312	0.05023970655415116	3.217314022383147	42.32258064516129	20.15668202764977
log-cspl5-percmem.mapjitter.klw	Risky second	0	1	ips	0.33841190476190475	0.27612499999999995	0.3990714285714285	0.30523809523809525	0.041541950204390346	1.5253042921204358	13.849775784753364	11.040358744394618
log-cspl5-percmem.mapjitter.klw	Risky second	0	1	vertex	0.3197840136054422	0.26423044217687075	0.37909013605442177	0.27840136054421766	0.04589016222073962	1.5253968253968255	13.828888888888889	11.022222222222222
log-cspl5-percmem.mapjitter.klw	Risky second	0	2	ips	0.43354523809523804	0.36664285714285716	0.4895238095238095	0.46380952380952384	0.054599320212255296	1.7618598382749326	14.254716981132075	10.30188679245283
log-cspl5-percmem.mapjitter.klw	Risky second	0	2	vertex	0.41977857142857145	0.34857142857142853	0.48000000000000004	0.31238095238095237	0.044345762127259235	1.7599730458221023	14.245283018867925	10.30188679245283
log-cspl5-percmem.mapjitter.klw	Risky second	0	3	ips	0.5429434523809523	0.48211309523809526	0.6167261904761904	0.5988095238095238	0.046907321234332056	2.0345013477088947	15.660377358490566	10.30188679245283
log-cspl5-percmem.mapjitter.klw	Risky second	0	3	vertex	0.5395428571428572	0.4785595238095238	0.6048095238095238	0.5071428571428571	0.03547257139436795	2.036530612244898	15.697619047619048	10.31904761904762
log-cspl5-percmem.mapjitter.klw	Risky second	0	4	ips	0.6559964285714287	0.5823690476190476	0.7262738095238095	0.7547619047619047	0.04414120575023637	2.341717791411043	15.5920245398773	9.349693251533742
log-cspl5-percmem.mapjitter.klw	Risky second	0	4	vertex	0.6564345238095239	0.5857142857142857	0.7261904761904763	0.6690476190476191	0.05242549672073599	2.330120481927711	15.55421686746988	9.36144578313253
log-cspl5-percmem.mapjitter.klw	Risky second	0	5	ips	0.7441309523809524	0.67375	0.8119047619047619	0.7904761904761906	0.04762955066243214	2.7293121693121694	15.87037037037037	8.511111111111111
log-cspl5-percmem.mapjitter.klw	Risky second	0	5	vertex	0.7467559523809524	0.6738095238095237	0.8167261904761904	0.7833333333333333	0.04130797993547017	2.7316176470588234	15.889705882352942	8.522058823529411
log-cspl5-percmem.mapjitter.klw	Risky second	0	6	ips	0.8227573529411764	0.75	0.8823529411764706	0.8602941176470589	0.038335430371496435	3.155555555555556	17.373015873015873	8.380952380952381
log-cspl5-percmem.mapjitter.klw	Risky second	0	6	vertex	0.8230147058823529	0.75	0.8825367647058822	0.8897058823529411	0.030208677951052126	3.155555555555556	17.373015873015873	8.380952380952381
log-cspl5-percmem.mapjitter.klw	Risky second	1	1	ips	0.36630357142857134	0.2785714285714286	0.45714285714285713	0.35714285714285715	0.04945683361636229	1.6215437788018434	32.04032258064516	24.516129032258064
log-cspl5-percmem.mapjitter.klw	Risky second	1	1	vertex	0.3683214285714286	0.2857142857142857	0.44285714285714284	0.2785714285714286	0.056853257753332546	1.6215437788018434	32.04032258064516	24.516129032258064
