label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-percpmusd.mapjitter.klw	Risky first	7.0	ips	0.630995238095238	0.5871428571428572	0.6786190476190476	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power-percpmusd.mapjitter.klw	Risky first	7.0	vertex	0.6175831529581529	0.575465367965368	0.666257215007215	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power-percpmusd.mapjitter.klw	Risky first	10.0	ips	0.582353354978355	0.5387337662337662	0.6251244588744588	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power-percpmusd.mapjitter.klw	Risky first	10.0	vertex	0.564639935064935	0.519090909090909	0.6098214285714286	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power-percpmusd.mapjitter.klw	Risky first	14.0	ips	0.5331563852813853	0.4891720779220779	0.5807359307359307	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power-percpmusd.mapjitter.klw	Risky first	14.0	vertex	0.5150494588744589	0.46427164502164503	0.5542337662337663	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power-percpmusd.mapjitter.klw	Risky first	20.0	ips	0.48563095238095244	0.43721861471861473	0.5309902597402597	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power-percpmusd.mapjitter.klw	Risky first	20.0	vertex	0.46764956709956707	0.4251363636363637	0.5127813852813853	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power-percpmusd.mapjitter.klw	Risky first	28.0	ips	0.4505178571428572	0.404702380952381	0.4976190476190476	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power-percpmusd.mapjitter.klw	Risky first	28.0	vertex	0.42928690476190473	0.38692748917748915	0.4728506493506493	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power-percpmusd.mapjitter.klw	Risky second	7.0	ips	0.5850286796536797	0.5430681818181818	0.6316287878787878	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power-percpmusd.mapjitter.klw	Risky second	7.0	vertex	0.563141774891775	0.5149188311688312	0.605422077922078	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power-percpmusd.mapjitter.klw	Risky second	10.0	ips	0.6004689393939394	0.5542857142857143	0.6483603896103896	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power-percpmusd.mapjitter.klw	Risky second	10.0	vertex	0.5761082251082251	0.5300487012987014	0.6214448051948052	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power-percpmusd.mapjitter.klw	Risky second	14.0	ips	0.6002597402597403	0.5605573593073593	0.6441612554112554	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power-percpmusd.mapjitter.klw	Risky second	14.0	vertex	0.5733165584415584	0.5278517316017316	0.620784632034632	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power-percpmusd.mapjitter.klw	Risky second	20.0	ips	0.5900730519480519	0.5478354978354979	0.6344642857142857	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power-percpmusd.mapjitter.klw	Risky second	20.0	vertex	0.5641547619047619	0.5190476190476191	0.6071428571428571	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power-percpmusd.mapjitter.klw	Risky second	28.0	ips	0.5731785714285713	0.5333333333333333	0.6191071428571429	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power-percpmusd.mapjitter.klw	Risky second	28.0	vertex	0.5458511904761904	0.5	0.5904761904761905	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
