label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-n1n2.klw	Risky first	0	ips	0.5387922819047875	0.50419182824645	0.571102014330453	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-power-n1n2.klw	Risky first	0	vertex	0.5596513499658237	0.5238921329297269	0.5961749449381029	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-power-n1n2.klw	Risky first	1	ips	0.5323289571330925	0.49755179615705936	0.5673417336631622	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-power-n1n2.klw	Risky first	1	vertex	0.5386220294337831	0.5026227275599234	0.5764122704903333	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-power-n1n2.klw	Risky first	2	ips	0.5146781024531024	0.47531571352623986	0.5534862345257082	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-power-n1n2.klw	Risky first	2	vertex	0.510282853859247	0.4702970137018124	0.5442018269827867	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-power-n1n2.klw	Risky second	0	ips	0.539360921513741	0.5028282746910567	0.5748051161453417	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-power-n1n2.klw	Risky second	0	vertex	0.517300129924378	0.48214504063188274	0.553810646746737	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-power-n1n2.klw	Risky second	1	ips	0.59406044805482	0.5631153745389703	0.6324221194059761	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-power-n1n2.klw	Risky second	1	vertex	0.5824764942659679	0.5458554340396445	0.6173100364547732	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-power-n1n2.klw	Risky second	2	ips	0.6113560527400753	0.5722127966018943	0.6543782019985028	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-power-n1n2.klw	Risky second	2	vertex	0.5965851067061593	0.5577960051644263	0.6344006227690439	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
