label	order	stake_bin	stim	slope	lo	hi	observed	stake_chf	n_trials	d_slope_observed	d_slope	lo_contrast	hi_contrast	p_lt0	stake_chf_contrast
log-power+weber-percpmu.mapjitter.klw	Risky first	0	ips	0.4663333630021278	0.36015485070419345	0.5837250297680677	0.5726447448718716	12.647988505747126	696	-0.061416750116486396	-0.08710089976445183	-0.22076464116765668	0.05835480055293049	0.9	12.658976207642393
log-power+weber-percpmu.mapjitter.klw	Risky first	0	vertex	0.5534342627665797	0.4527185793732906	0.647755325884102	0.634061494988358	12.670043415340087	691	-0.061416750116486396	-0.08710089976445183	-0.22076464116765668	0.05835480055293049	0.9	12.658976207642393
log-power+weber-percpmu.mapjitter.klw	Risky first	1	ips	0.37334937212462876	0.26813618784273846	0.4757901336439675	0.48139778942782585	23.08393113342898	697	-0.011754715115601888	-0.06260779933172268	-0.2051816502199548	0.08180617262390348	0.8025	23.03832248734635
log-power+weber-percpmu.mapjitter.klw	Risky first	1	vertex	0.43595717145635143	0.33249271501058947	0.5272155552781098	0.49315250454342774	22.99198250728863	686	-0.011754715115601888	-0.06260779933172268	-0.2051816502199548	0.08180617262390348	0.8025	23.03832248734635
log-power+weber-percpmu.mapjitter.klw	Risky first	2	ips	0.1409520781531184	0.022858844855014205	0.2510629365868616	0.23221653369331777	42.27161383285303	694	0.0213864321101917	-0.036694638052261835	-0.17277731455031214	0.10279255518531374	0.705	42.19430425378515
log-power+weber-percpmu.mapjitter.klw	Risky first	2	vertex	0.17764671620538025	0.07780032064779804	0.2846555267406034	0.21083010158312607	42.116883116883116	693	0.0213864321101917	-0.036694638052261835	-0.17277731455031214	0.10279255518531374	0.705	42.19430425378515
log-power+weber-percpmu.mapjitter.klw	Risky second	0	ips	0.49661380609833555	0.3820536075390728	0.6035985058111695	0.5535422762288243	12.667142857142856	700	-0.18798032163285872	-0.11239128411839278	-0.2395832753850682	0.018943508205160522	0.95	12.677857142857142
log-power+weber-percpmu.mapjitter.klw	Risky second	0	vertex	0.6090050902167283	0.5080579970755219	0.6947221417148977	0.7415225978616831	12.688571428571429	700	-0.18798032163285872	-0.11239128411839278	-0.2395832753850682	0.018943508205160522	0.95	12.677857142857142
log-power+weber-percpmu.mapjitter.klw	Risky second	1	ips	0.36116503377226566	0.2628239833870141	0.46078803587863376	0.29270400382215733	23.160377358490567	689	-0.14778942258236893	-0.07536259949415897	-0.2094340571229794	0.07070929742844594	0.87	23.129696531791907
log-power+weber-percpmu.mapjitter.klw	Risky second	1	vertex	0.4365276332664246	0.3439315021378137	0.5330688810206415	0.44049342640452627	23.09928057553957	695	-0.14778942258236893	-0.07536259949415897	-0.2094340571229794	0.07070929742844594	0.87	23.129696531791907
log-power+weber-percpmu.mapjitter.klw	Risky second	2	ips	0.13093866187519396	0.02551586075761456	0.22765326261555446	0.12211657687000906	42.263988522238165	697	-0.03299622260997469	-0.01943239421923894	-0.14874703103843084	0.10281002800836903	0.5975	42.25394548063128
log-power+weber-percpmu.mapjitter.klw	Risky second	2	vertex	0.1503710560944329	0.05012995549811813	0.25778163923517367	0.15511279947998374	42.24390243902439	697	-0.03299622260997469	-0.01943239421923894	-0.14874703103843084	0.10281002800836903	0.5975	42.25394548063128
