label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-percmempmu.mapjitter.klw	Risky first	1	ips	0.3229388888888889	0.27454761904761904	0.3759285714285714	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149	15.825214899713467
log-power-percmempmu.mapjitter.klw	Risky first	1	vertex	0.2985373015873016	0.2460238095238095	0.3476190476190476	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618	15.847262247838616
log-power-percmempmu.mapjitter.klw	Risky first	2	ips	0.40460532879818595	0.3580646258503401	0.45443764172335605	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555	15.733711048158641
log-power-percmempmu.mapjitter.klw	Risky first	2	vertex	0.38217009637188215	0.3279659863945578	0.437624716553288	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977	15.701149425287356
log-power-percmempmu.mapjitter.klw	Risky first	3	ips	0.49990158730158735	0.44996031746031745	0.5535079365079365	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107	15.774928774928775
log-power-percmempmu.mapjitter.klw	Risky first	3	vertex	0.4816218253968254	0.4361507936507936	0.531452380952381	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713	15.795977011494253
log-power-percmempmu.mapjitter.klw	Risky first	4	ips	0.5900531746031745	0.5393412698412698	0.6371587301587301	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414	15.841954022988507
log-power-percmempmu.mapjitter.klw	Risky first	4	vertex	0.5766142857142857	0.5313234126984127	0.6276210317460317	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527	15.786549707602338
log-power-percmempmu.mapjitter.klw	Risky first	5	ips	0.6671607709750567	0.6178934240362811	0.7200941043083899	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074	15.831884057971015
log-power-percmempmu.mapjitter.klw	Risky first	5	vertex	0.6579220238095238	0.6031746031746031	0.704656746031746	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814	15.877906976744185
log-power-percmempmu.mapjitter.klw	Risky first	6	ips	0.735740873015873	0.6868809523809524	0.7868670634920634	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334	15.926686217008797
log-power-percmempmu.mapjitter.klw	Risky first	6	vertex	0.7280226190476191	0.6812539682539682	0.7723948412698413	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167	15.873900293255131
log-power-percmempmu.mapjitter.klw	Risky second	1	ips	0.35345555555555547	0.3003174603174603	0.39846825396825397	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902	15.855907780979827
log-power-percmempmu.mapjitter.klw	Risky second	1	vertex	0.3152690476190476	0.26691269841269843	0.35876984126984124	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422	15.816618911174785
log-power-percmempmu.mapjitter.klw	Risky second	2	ips	0.44764263038548746	0.3887471655328798	0.4991950113378685	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936	15.737891737891738
log-power-percmempmu.mapjitter.klw	Risky second	2	vertex	0.41257925170068027	0.36586734693877554	0.45732766439909295	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727	15.75
log-power-percmempmu.mapjitter.klw	Risky second	3	ips	0.553897619047619	0.5047261904761905	0.6052857142857142	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817	15.75
log-power-percmempmu.mapjitter.klw	Risky second	3	vertex	0.5231912698412698	0.47517857142857145	0.5744642857142856	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428	15.791428571428572
log-power-percmempmu.mapjitter.klw	Risky second	4	ips	0.6548591269841271	0.6018035714285714	0.7065932539682539	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389	15.85014409221902
log-power-percmempmu.mapjitter.klw	Risky second	4	vertex	0.6308214285714285	0.5771428571428571	0.6743571428571429	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143	15.8
log-power-percmempmu.mapjitter.klw	Risky second	5	ips	0.7364249433106577	0.6863718820861678	0.7826009070294785	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884	15.898255813953488
log-power-percmempmu.mapjitter.klw	Risky second	5	vertex	0.717843253968254	0.676529761904762	0.7616607142857142	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116	15.898550724637682
log-power-percmempmu.mapjitter.klw	Risky second	6	ips	0.8018357142857142	0.7570714285714285	0.8457857142857143	0.84	0.027255405754769875	3.206335403726708	33.391304347826086	15.889855072463767
log-power-percmempmu.mapjitter.klw	Risky second	6	vertex	0.787	0.7438095238095238	0.8295238095238096	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555	15.884393063583815
