label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-weber-percmem.pathfinder	Risky first	1	-0.015065079365079366	-0.07622222222222222	0.046357142857142854	0.3375	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-weber-percmem.pathfinder	Risky first	2	-0.011664002267573697	-0.07511054421768706	0.05449291383219954	0.3725	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-weber-percmem.pathfinder	Risky first	3	-0.004484920634920634	-0.07863095238095237	0.05969841269841269	0.4525	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-weber-percmem.pathfinder	Risky first	4	0.0010158730158730176	-0.07023611111111111	0.06827182539682537	0.515	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-weber-percmem.pathfinder	Risky first	5	0.0029975056689342406	-0.06630498866213151	0.07002636054421768	0.54	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-weber-percmem.pathfinder	Risky first	6	0.004178571428571427	-0.05643650793650793	0.06231547619047617	0.5575	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-weber-percmem.pathfinder	Risky second	1	-0.002615079365079366	-0.06609523809523808	0.05758730158730147	0.4525	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-weber-percmem.pathfinder	Risky second	2	0.0012815192743764162	-0.0630532879818594	0.07288775510204078	0.4925	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-weber-percmem.pathfinder	Risky second	3	0.005913095238095237	-0.05567857142857143	0.07163492063492059	0.565	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-weber-percmem.pathfinder	Risky second	4	0.01379345238095238	-0.06381944444444447	0.081563492063492	0.67	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-weber-percmem.pathfinder	Risky second	5	0.015622448979591837	-0.045162414965986386	0.06621655328798184	0.6875	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-weber-percmem.pathfinder	Risky second	6	0.013076190476190477	-0.0457857142857143	0.06285714285714285	0.6875	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
