label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-genweber-null.klw	Risky first	1	-0.0016666666666666663	-0.06828571428571428	0.05969047619047618	0.4725	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-genweber-null.klw	Risky first	2	-0.00044674036281179064	-0.06474007936507936	0.0683324829931972	0.4675	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-genweber-null.klw	Risky first	3	-0.0007015873015872998	-0.07287301587301587	0.06609126984126981	0.5	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-genweber-null.klw	Risky first	4	-0.00043789682539682387	-0.07662301587301586	0.0674880952380952	0.5075	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-genweber-null.klw	Risky first	5	0.0013890589569161003	-0.06718679138321997	0.07624178004535147	0.5075	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-genweber-null.klw	Risky first	6	-2.7380952380953935e-05	-0.06144246031746031	0.06486309523809522	0.5075	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-genweber-null.klw	Risky second	1	0.0008103174603174604	-0.0626031746031746	0.06446825396825394	0.52	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-genweber-null.klw	Risky second	2	0.0004146258503401358	-0.06676643990929707	0.0779172335600907	0.475	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-genweber-null.klw	Risky second	3	0.0009726190476190481	-0.06242063492063491	0.07271428571428568	0.4975	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-genweber-null.klw	Risky second	4	-0.0014099206349206348	-0.0712797619047619	0.07224999999999998	0.4925	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-genweber-null.klw	Risky second	5	-0.00018168934240362825	-0.06617942176870749	0.056660430839002254	0.54	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-genweber-null.klw	Risky second	6	-0.0008833333333333329	-0.058119047619047626	0.054309523809523794	0.48	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
