label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl3-percpmu.mapjitter.klw	Risky first	1	0.022727777777777777	-0.04828571428571428	0.09588095238095236	0.7175	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl3-percpmu.mapjitter.klw	Risky first	2	0.017869160997732426	-0.05915221088435373	0.08673894557823116	0.68	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl3-percpmu.mapjitter.klw	Risky first	3	0.013555555555555557	-0.057666666666666665	0.08414285714285713	0.6575	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl3-percpmu.mapjitter.klw	Risky first	4	0.00875277777777778	-0.06334920634920634	0.0741488095238095	0.62	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl3-percpmu.mapjitter.klw	Risky first	5	0.004063236961451247	-0.06241099773242629	0.07304648526077091	0.5325	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl3-percpmu.mapjitter.klw	Risky first	6	0.001081150793650793	-0.06436904761904762	0.06953769841269841	0.5275	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl3-percpmu.mapjitter.klw	Risky second	1	0.03926587301587301	-0.022539682539682537	0.10573809523809521	0.8575	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl3-percpmu.mapjitter.klw	Risky second	2	0.03642165532879818	-0.036102040816326536	0.11161337868480721	0.845	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl3-percpmu.mapjitter.klw	Risky second	3	0.028932936507936508	-0.03509126984126984	0.10178571428571424	0.785	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl3-percpmu.mapjitter.klw	Risky second	4	0.019590277777777776	-0.04719444444444443	0.09063690476190463	0.685	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl3-percpmu.mapjitter.klw	Risky second	5	0.014134382086167801	-0.05298469387755101	0.08011734693877548	0.6575	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl3-percpmu.mapjitter.klw	Risky second	6	0.011414285714285712	-0.045785714285714284	0.07430952380952378	0.6325	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
