label	subject	order	cell	by	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	1	Risky first	7.0	n_safe	ips	slope	3.3549054901230644	2.2449330550989224	4.607793362257156
log-power-n1n2	2	Risky first	7.0	n_safe	ips	slope	1.6346010295899656	1.042521632064294	2.3600416087042517
log-power-n1n2	3	Risky first	7.0	n_safe	ips	slope	4.083676058985137	2.883755645642792	5.674793580423473
log-power-n1n2	4	Risky first	7.0	n_safe	ips	slope	2.173668533017385	1.2280769472789252	3.1936361892478646
log-power-n1n2	5	Risky first	7.0	n_safe	ips	slope	2.3368236846094206	1.2397428186725175	3.4680416379112216
log-power-n1n2	6	Risky first	7.0	n_safe	ips	slope	2.5264283669609187	1.670467316496233	3.589112099914414
log-power-n1n2	7	Risky first	7.0	n_safe	ips	slope	1.7715407614475736	0.9677719456911464	2.676784018759247
log-power-n1n2	9	Risky first	7.0	n_safe	ips	slope	3.018594725017735	1.3707613941444723	5.102578856236283
log-power-n1n2	10	Risky first	7.0	n_safe	ips	slope	2.2422831592488213	1.1720519127170026	3.3578647601415264
log-power-n1n2	11	Risky first	7.0	n_safe	ips	slope	3.722938866115732	2.7094846582570207	5.056017817058352
log-power-n1n2	18	Risky first	7.0	n_safe	ips	slope	3.637170966701123	2.2795489918672476	5.263935763735239
log-power-n1n2	19	Risky first	7.0	n_safe	ips	slope	1.5901328080531836	0.6280087585875825	3.1346999675447313
log-power-n1n2	21	Risky first	7.0	n_safe	ips	slope	1.4630551782315955	0.8870917971639443	2.076122494631688
log-power-n1n2	25	Risky first	7.0	n_safe	ips	slope	4.128112262630646	2.8787296822705524	5.630976769202925
log-power-n1n2	26	Risky first	7.0	n_safe	ips	slope	3.0518201205413167	2.1703740383011145	3.9610444032409453
log-power-n1n2	29	Risky first	7.0	n_safe	ips	slope	1.9292074334215474	1.0537314777811402	2.8859168907652424
log-power-n1n2	30	Risky first	7.0	n_safe	ips	slope	2.4444713266063323	1.367412829383971	3.6547306469487406
log-power-n1n2	31	Risky first	7.0	n_safe	ips	slope	2.8907932361729065	1.692215802552474	4.094364104645299
log-power-n1n2	34	Risky first	7.0	n_safe	ips	slope	2.2747223894556043	1.268340042219191	3.574938635404554
log-power-n1n2	35	Risky first	7.0	n_safe	ips	slope	2.8373021454965834	1.8440428393541854	4.270557560511599
log-power-n1n2	36	Risky first	7.0	n_safe	ips	slope	2.9501538405781678	1.9896360205770574	3.9205070912645192
log-power-n1n2	37	Risky first	7.0	n_safe	ips	slope	2.729843091073968	1.7264922160034761	3.7714807160561925
log-power-n1n2	45	Risky first	7.0	n_safe	ips	slope	2.294213014023705	1.33548852978951	3.4273587505681804
log-power-n1n2	46	Risky first	7.0	n_safe	ips	slope	2.427764297416058	1.5942416072535233	3.3042087434568863
log-power-n1n2	47	Risky first	7.0	n_safe	ips	slope	2.934911348233829	2.142022869596938	3.7965801305791134
log-power-n1n2	50	Risky first	7.0	n_safe	ips	slope	2.1642731434759095	0.8988757795818435	4.030442530744768
log-power-n1n2	53	Risky first	7.0	n_safe	ips	slope	2.260229440102872	1.3834254783143374	3.2189090034749746
log-power-n1n2	56	Risky first	7.0	n_safe	ips	slope	2.344578532745144	1.3968005859674468	3.4640548956654493
log-power-n1n2	59	Risky first	7.0	n_safe	ips	slope	2.2219186777944686	1.3432315829276258	3.2764698631558735
log-power-n1n2	62	Risky first	7.0	n_safe	ips	slope	2.8414839311968443	1.7654580820991428	4.336283180129638
log-power-n1n2	63	Risky first	7.0	n_safe	ips	slope	2.573486936295758	1.502466592813576	3.7697546814164826
log-power-n1n2	67	Risky first	7.0	n_safe	ips	slope	3.2129280133705236	2.139164046128321	4.492872214916076
log-power-n1n2	69	Risky first	7.0	n_safe	ips	slope	2.2841690467969187	1.2001128834132528	3.3698365239212498
log-power-n1n2	72	Risky first	7.0	n_safe	ips	slope	3.3789871938148304	2.273083532773322	4.721650639579339
log-power-n1n2	74	Risky first	7.0	n_safe	ips	slope	2.042557432955774	1.2995725414673807	2.9026679793166688
log-power-n1n2	1	Risky first	7.0	n_safe	ips	rnp	1.0612641595800945	0.945276154638324	1.1770186985911621
log-power-n1n2	2	Risky first	7.0	n_safe	ips	rnp	1.175495840191891	0.8138272855478162	1.707437005366404
log-power-n1n2	3	Risky first	7.0	n_safe	ips	rnp	0.9066436214086406	0.7774808378144605	0.9994041062129471
log-power-n1n2	4	Risky first	7.0	n_safe	ips	rnp	1.0180643532681763	0.787949521851368	1.2113803069055495
log-power-n1n2	5	Risky first	7.0	n_safe	ips	rnp	0.6057627214672558	0.2621133275050886	0.8620934507357595
