label	subject	order	cell	by	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	6	Risky first	7.0	n_safe	ips	rnp	1.048969153520813	0.8677558952658401	1.2249480541624034
log-power-n1n2	7	Risky first	7.0	n_safe	ips	rnp	0.7711710350890082	0.5262237476301937	0.992271563337639
log-power-n1n2	9	Risky first	7.0	n_safe	ips	rnp	1.2282161827026816	0.9424372817621837	1.4235041612894141
log-power-n1n2	10	Risky first	7.0	n_safe	ips	rnp	0.546481531149698	0.23085794414838504	0.7544987149999801
log-power-n1n2	11	Risky first	7.0	n_safe	ips	rnp	0.7829127790934367	0.6621779159168776	0.8840671738837451
log-power-n1n2	18	Risky first	7.0	n_safe	ips	rnp	0.8217187270954379	0.7253050825712868	0.935440190841787
log-power-n1n2	19	Risky first	7.0	n_safe	ips	rnp	0.8651208977281635	0.27146405855082323	1.230374857365725
log-power-n1n2	21	Risky first	7.0	n_safe	ips	rnp	0.7708768250415867	0.5393575380075462	1.0167360980580564
log-power-n1n2	25	Risky first	7.0	n_safe	ips	rnp	0.8927191844448246	0.8052628163512977	0.9766649448029988
log-power-n1n2	26	Risky first	7.0	n_safe	ips	rnp	0.8251155268940713	0.7022014393612748	0.9344493188277126
log-power-n1n2	29	Risky first	7.0	n_safe	ips	rnp	1.0509887525854005	0.8131065050401114	1.307031210872602
log-power-n1n2	30	Risky first	7.0	n_safe	ips	rnp	0.9044778692764113	0.6694430571721212	1.0527530046192735
log-power-n1n2	31	Risky first	7.0	n_safe	ips	rnp	0.9159341934403382	0.7355907303483635	1.0240527709976548
log-power-n1n2	34	Risky first	7.0	n_safe	ips	rnp	0.9561637786489678	0.670509144375739	1.1554750028216985
log-power-n1n2	35	Risky first	7.0	n_safe	ips	rnp	3.326160528881892	2.672807636645356	4.588589641373241
log-power-n1n2	36	Risky first	7.0	n_safe	ips	rnp	0.9699238538093031	0.8228619170537836	1.096929901776225
log-power-n1n2	37	Risky first	7.0	n_safe	ips	rnp	0.8625680325838435	0.7143505883000381	0.9784142158510125
log-power-n1n2	45	Risky first	7.0	n_safe	ips	rnp	1.5313226949770544	1.169011088368272	1.8929602705423587
log-power-n1n2	46	Risky first	7.0	n_safe	ips	rnp	1.1674637200155322	0.9685854794041522	1.437445518748125
log-power-n1n2	47	Risky first	7.0	n_safe	ips	rnp	0.8093141542046945	0.663594257617249	0.9282560206836589
log-power-n1n2	50	Risky first	7.0	n_safe	ips	rnp	1.0894894245397055	0.3709335635067457	1.478336133560837
log-power-n1n2	53	Risky first	7.0	n_safe	ips	rnp	0.972626156078601	0.7321150635011758	1.1598938092816167
log-power-n1n2	56	Risky first	7.0	n_safe	ips	rnp	0.9770462009207617	0.7864272317749434	1.2903527900480674
log-power-n1n2	59	Risky first	7.0	n_safe	ips	rnp	1.4833197016973658	1.1906905908649514	1.895553526460119
log-power-n1n2	62	Risky first	7.0	n_safe	ips	rnp	0.6205082397452178	0.393961227934707	0.7887981432190442
log-power-n1n2	63	Risky first	7.0	n_safe	ips	rnp	0.8353636515246565	0.6046637330508556	0.9911688992326044
log-power-n1n2	67	Risky first	7.0	n_safe	ips	rnp	0.9520618788905111	0.7324837056967578	1.1122547623841914
log-power-n1n2	69	Risky first	7.0	n_safe	ips	rnp	0.6083567904020051	0.34662976149870217	0.7811672793750607
log-power-n1n2	72	Risky first	7.0	n_safe	ips	rnp	0.9288852626225486	0.7908230567494519	1.0420566421980384
log-power-n1n2	74	Risky first	7.0	n_safe	ips	rnp	1.183913023870115	0.8952108171910036	1.548164067831362
log-power-n1n2	1	Risky first	7.0	n_safe	ips	logfrac_star	0.6572978016342069	0.5415588329218725	0.7608217155401655
log-power-n1n2	2	Risky first	7.0	n_safe	ips	logfrac_star	0.7595270508671699	0.39182988534579993	1.1328304195112349
log-power-n1n2	3	Risky first	7.0	n_safe	ips	logfrac_star	0.49983117449416103	0.3461407192849802	0.5972409293464888
log-power-n1n2	4	Risky first	7.0	n_safe	ips	logfrac_star	0.6157401320624388	0.3595157510022571	0.7895974596935899
log-power-n1n2	5	Risky first	7.0	n_safe	ips	logfrac_star	0.09657008143949976	-0.7411413653475943	0.4494453976696834
log-power-n1n2	6	Risky first	7.0	n_safe	ips	logfrac_star	0.6456449240268527	0.45599217005106196	0.8007354390464448
log-power-n1n2	7	Risky first	7.0	n_safe	ips	logfrac_star	0.33799190603101953	-0.044191783371628476	0.5900785447699233
log-power-n1n2	9	Risky first	7.0	n_safe	ips	logfrac_star	0.8033998594636372	0.5385510943128275	0.9509585517634742
log-power-n1n2	10	Risky first	7.0	n_safe	ips	logfrac_star	-0.00641776635475267	-0.8681157195296181	0.3161352968089931
log-power-n1n2	11	Risky first	7.0	n_safe	ips	logfrac_star	0.353103018318374	0.18561599626394631	0.4746147700007197
log-power-n1n2	18	Risky first	7.0	n_safe	ips	logfrac_star	0.4014798771072928	0.2766740913341671	0.5310989326138302
log-power-n1n2	19	Risky first	7.0	n_safe	ips	logfrac_star	0.4529509834057047	-0.706089068054893	0.8051558848911319
log-power-n1n2	21	Risky first	7.0	n_safe	ips	logfrac_star	0.33761032255790147	-0.019539593062961963	0.6144345932649143
log-power-n1n2	25	Risky first	7.0	n_safe	ips	logfrac_star	0.48435379008779095	0.38125042584771907	0.5742253718677442
log-power-n1n2	26	Risky first	7.0	n_safe	ips	logfrac_star	0.40560513086511363	0.2443020352713756	0.5300391136551093
log-power-n1n2	29	Risky first	7.0	n_safe	ips	logfrac_star	0.6475683909420327	0.3909438237796048	0.8655953148269637
log-power-n1n2	30	Risky first	7.0	n_safe	ips	logfrac_star	0.4974395589071792	0.19652781767142266	0.6492456428652008
log-power-n1n2	31	Risky first	7.0	n_safe	ips	logfrac_star	0.5100262425424732	0.29075561134710215	0.6216050599943905
log-power-n1n2	34	Risky first	7.0	n_safe	ips	logfrac_star	0.5530109363769127	0.19811906217797745	0.7423485179842382
log-power-n1n2	35	Risky first	7.0	n_safe	ips	logfrac_star	1.7996556452084933	1.5809664699361905	2.1214097095708433
log-power-n1n2	36	Risky first	7.0	n_safe	ips	logfrac_star	0.567299288952986	0.40287012833106506	0.6903522800620348
log-power-n1n2	37	Risky first	7.0	n_safe	ips	logfrac_star	0.4499957459168813	0.26145558361520704	0.5760148357265497
log-power-n1n2	45	Risky first	7.0	n_safe	ips	logfrac_star	1.0239688685834065	0.7539951599528514	1.235978885128118
log-power-n1n2	46	Risky first	7.0	n_safe	ips	logfrac_star	0.7526706357545123	0.565918460186648	0.9607045935973454
log-power-n1n2	47	Risky first	7.0	n_safe	ips	logfrac_star	0.3862688875179286	0.1877526264777745	0.5233893007623909
log-power-n1n2	50	Risky first	7.0	n_safe	ips	logfrac_star	0.6835461692405724	-0.3938953168935212	0.9887542219688219
log-power-n1n2	53	Risky first	7.0	n_safe	ips	logfrac_star	0.5700815121749578	0.2860194095526605	0.7461654574025133
log-power-n1n2	56	Risky first	7.0	n_safe	ips	logfrac_star	0.5746156610997953	0.3575819183235657	0.8527526622286685
log-power-n1n2	59	Risky first	7.0	n_safe	ips	logfrac_star	0.9921196182973897	0.7723704679988799	1.2373478911369022
log-power-n1n2	62	Risky first	7.0	n_safe	ips	logfrac_star	0.12062060395926674	-0.33366578326527074	0.3605921711261619
log-power-n1n2	63	Risky first	7.0	n_safe	ips	logfrac_star	0.4179488626237183	0.09475421207610449	0.5889666746368147
log-power-n1n2	67	Risky first	7.0	n_safe	ips	logfrac_star	0.5487117532387475	0.2865228176264338	0.7042262721962324
log-power-n1n2	69	Risky first	7.0	n_safe	ips	logfrac_star	0.10084325790498325	-0.46166105499821364	0.3508710345595304
log-power-n1n2	72	Risky first	7.0	n_safe	ips	logfrac_star	0.5240669466109678	0.36315596876245904	0.639033301706046
log-power-n1n2	74	Risky first	7.0	n_safe	ips	logfrac_star	0.7666620749498743	0.487140962010111	1.0349067566523884
log-power-n1n2	1	Risky first	7.0	n_safe	vertex	slope	2.600665156958211	1.4224557403130729	3.9031004384055303
log-power-n1n2	2	Risky first	7.0	n_safe	vertex	slope	1.7350777854645592	0.9802791894813861	2.720099998963083
log-power-n1n2	3	Risky first	7.0	n_safe	vertex	slope	4.488790934776041	2.9130086778418307	6.352855822623323
log-power-n1n2	4	Risky first	7.0	n_safe	vertex	slope	2.096637525954913	0.9713351606463982	3.4726028390893835
log-power-n1n2	5	Risky first	7.0	n_safe	vertex	slope	2.0873254483350205	0.9707933252160926	3.5057156745843496
log-power-n1n2	6	Risky first	7.0	n_safe	vertex	slope	2.1042106421377023	1.1718662009654928	3.193168133120156
log-power-n1n2	7	Risky first	7.0	n_safe	vertex	slope	2.311183435715189	1.2130168468279665	3.6160055089901566
log-power-n1n2	9	Risky first	7.0	n_safe	vertex	slope	2.8018773126652308	1.2559608263511433	4.876165405647558
log-power-n1n2	10	Risky first	7.0	n_safe	vertex	slope	1.668863624983829	0.34148172013663913	3.154782785757048
log-power-n1n2	11	Risky first	7.0	n_safe	vertex	slope	3.6054041486004786	2.4557488033753208	4.9616796650805
log-power-n1n2	18	Risky first	7.0	n_safe	vertex	slope	4.47518196417357	2.7130449865101958	6.532239480015004
log-power-n1n2	19	Risky first	7.0	n_safe	vertex	slope	1.3611951188272458	0.3665778749114232	2.9026702067568477
log-power-n1n2	21	Risky first	7.0	n_safe	vertex	slope	1.9601697600433692	1.1217839339132318	2.960251402330072
log-power-n1n2	25	Risky first	7.0	n_safe	vertex	slope	5.131173183905126	3.6543215884803772	6.8027210535371205
log-power-n1n2	26	Risky first	7.0	n_safe	vertex	slope	3.6235582158321096	2.55743393098223	4.742389769133987
log-power-n1n2	29	Risky first	7.0	n_safe	vertex	slope	1.9533549849847867	0.9795892703044031	3.193886669912576
log-power-n1n2	30	Risky first	7.0	n_safe	vertex	slope	2.4998316974542902	1.0947282222435135	4.138628517239414
log-power-n1n2	31	Risky first	7.0	n_safe	vertex	slope	2.251862732281001	0.9835194005586932	3.642497192494619
log-power-n1n2	34	Risky first	7.0	n_safe	vertex	slope	2.3537689544898783	1.1770948845692872	3.8112230813919967
log-power-n1n2	35	Risky first	7.0	n_safe	vertex	slope	4.261591472111805	2.539496012276673	6.999200756546692
log-power-n1n2	36	Risky first	7.0	n_safe	vertex	slope	2.7635145479317083	1.671104971875426	3.998074752491622
log-power-n1n2	37	Risky first	7.0	n_safe	vertex	slope	2.736845793646256	1.5520966865845411	4.058257350339997
log-power-n1n2	45	Risky first	7.0	n_safe	vertex	slope	3.3606596825686728	2.1825277105482486	4.698126786374591
log-power-n1n2	46	Risky first	7.0	n_safe	vertex	slope	2.3823722137206857	1.4488072144998834	3.4119761533806425
log-power-n1n2	47	Risky first	7.0	n_safe	vertex	slope	1.9799360384497193	1.2171031801293388	2.7741452513036604
log-power-n1n2	50	Risky first	7.0	n_safe	vertex	slope	4.786850353285523	2.6445393762114224	7.423833162544304
log-power-n1n2	53	Risky first	7.0	n_safe	vertex	slope	2.1480624428389117	1.0646314263608574	3.520668610171227
log-power-n1n2	56	Risky first	7.0	n_safe	vertex	slope	2.6579027400765707	1.4130522839380097	4.134868735034495
log-power-n1n2	59	Risky first	7.0	n_safe	vertex	slope	3.7819391405975127	2.310779900535146	5.611730176839165
log-power-n1n2	62	Risky first	7.0	n_safe	vertex	slope	4.893533141869592	2.780249948164794	7.842082020118418
log-power-n1n2	63	Risky first	7.0	n_safe	vertex	slope	3.4645638075862513	1.9452484835308574	5.34866939933599
log-power-n1n2	67	Risky first	7.0	n_safe	vertex	slope	1.8776914231765032	0.9648415761170128	3.2329964380789145
log-power-n1n2	69	Risky first	7.0	n_safe	vertex	slope	2.0545596305333067	0.8261540640193488	3.334810784592713
log-power-n1n2	72	Risky first	7.0	n_safe	vertex	slope	5.705778441108453	3.570194783899865	8.880710916393971
log-power-n1n2	74	Risky first	7.0	n_safe	vertex	slope	1.3724109802842182	0.6603325006252416	2.1566620294728507
log-power-n1n2	1	Risky first	7.0	n_safe	vertex	rnp	1.0782460559844473	0.8892534611513268	1.2551219075566409
log-power-n1n2	2	Risky first	7.0	n_safe	vertex	rnp	0.9115971237265825	0.5878844224454923	1.2508768250464508
log-power-n1n2	3	Risky first	7.0	n_safe	vertex	rnp	0.9038042028475525	0.7693043633609403	0.9905311834539003
log-power-n1n2	4	Risky first	7.0	n_safe	vertex	rnp	1.0033790396708078	0.720107520791894	1.19703827266433
log-power-n1n2	5	Risky first	7.0	n_safe	vertex	rnp	0.5311975978311777	0.16896248357419646	0.8307392866772754
log-power-n1n2	6	Risky first	7.0	n_safe	vertex	rnp	1.0582587864858155	0.8210282954178303	1.299504943997179
log-power-n1n2	7	Risky first	7.0	n_safe	vertex	rnp	0.8482133038472963	0.6358482196205221	1.0459391734901005
log-power-n1n2	9	Risky first	7.0	n_safe	vertex	rnp	1.2710936657134542	0.942313317929267	1.5373995830959353
log-power-n1n2	10	Risky first	7.0	n_safe	vertex	rnp	0.40600571917524664	0.010571870517557761	0.6994704528897803
log-power-n1n2	11	Risky first	7.0	n_safe	vertex	rnp	0.7542518167795289	0.608589320422249	0.8770575883183866
log-power-n1n2	18	Risky first	7.0	n_safe	vertex	rnp	0.8587486122157952	0.7802910884019083	0.93507364782754
log-power-n1n2	19	Risky first	7.0	n_safe	vertex	rnp	0.8045528861776927	0.13064968571934887	1.2500318229599336
log-power-n1n2	21	Risky first	7.0	n_safe	vertex	rnp	0.8174845117409397	0.5963816799900666	1.0203315408649303
log-power-n1n2	25	Risky first	7.0	n_safe	vertex	rnp	0.8899816364271109	0.8151210051410295	0.950229667892319
log-power-n1n2	26	Risky first	7.0	n_safe	vertex	rnp	0.8637657565665762	0.753804300645389	0.954284691438154
log-power-n1n2	29	Risky first	7.0	n_safe	vertex	rnp	1.074756523447828	0.8156546818218805	1.365182090294508
log-power-n1n2	30	Risky first	7.0	n_safe	vertex	rnp	0.9700126620843679	0.6943114766345548	1.153059643151332
log-power-n1n2	31	Risky first	7.0	n_safe	vertex	rnp	0.8668495324698615	0.5409948280883612	1.0211746374070612
log-power-n1n2	34	Risky first	7.0	n_safe	vertex	rnp	0.9566492875384033	0.6395954107905805	1.1484530543512446
log-power-n1n2	35	Risky first	7.0	n_safe	vertex	rnp	2.718609104655769	2.15338623841018	3.5386710929146536
log-power-n1n2	36	Risky first	7.0	n_safe	vertex	rnp	0.9510899014738194	0.7665556671715175	1.0848410335158043
log-power-n1n2	37	Risky first	7.0	n_safe	vertex	rnp	0.8642437099203129	0.7071191173821577	0.986515579798851
log-power-n1n2	45	Risky first	7.0	n_safe	vertex	rnp	1.2728832030107493	1.0478704505272194	1.4797399389724335
log-power-n1n2	46	Risky first	7.0	n_safe	vertex	rnp	1.1160660705904641	0.9066586742922841	1.3605435817071525
log-power-n1n2	47	Risky first	7.0	n_safe	vertex	rnp	0.6679839076419956	0.43040158733291806	0.8652962787697266
log-power-n1n2	50	Risky first	7.0	n_safe	vertex	rnp	1.018629932442645	0.6561646428454118	1.1872616392069015
log-power-n1n2	53	Risky first	7.0	n_safe	vertex	rnp	0.9331178955210431	0.6237369650746711	1.1263722654643107
log-power-n1n2	56	Risky first	7.0	n_safe	vertex	rnp	0.8637718308195215	0.5778305038372485	1.0205112639884268
log-power-n1n2	59	Risky first	7.0	n_safe	vertex	rnp	1.2085158719902163	1.072277902363731	1.3926585229386055
log-power-n1n2	62	Risky first	7.0	n_safe	vertex	rnp	0.8048562793362659	0.5977106279180818	0.9094284957129708
log-power-n1n2	63	Risky first	7.0	n_safe	vertex	rnp	0.875638103818255	0.681326589930327	0.9914868504729258
log-power-n1n2	67	Risky first	7.0	n_safe	vertex	rnp	0.8490437407719589	0.4487710213625303	1.135777096079123
log-power-n1n2	69	Risky first	7.0	n_safe	vertex	rnp	0.5321315303919079	0.18947617562080873	0.7339595094718201
log-power-n1n2	72	Risky first	7.0	n_safe	vertex	rnp	0.9711170296590077	0.9031404108129765	1.0316319334679218
log-power-n1n2	74	Risky first	7.0	n_safe	vertex	rnp	1.3134378931178896	0.8600693807218189	2.303578211014497
log-power-n1n2	1	Risky first	7.0	n_safe	vertex	logfrac_star	0.673172699303298	0.48046402477358596	0.8250697060115048
log-power-n1n2	2	Risky first	7.0	n_safe	vertex	logfrac_star	0.5052798639215884	0.06661197306064565	0.8216817660106234
log-power-n1n2	3	Risky first	7.0	n_safe	vertex	logfrac_star	0.49669446636107933	0.33556840333628934	0.5883230699308405
log-power-n1n2	4	Risky first	7.0	n_safe	vertex	logfrac_star	0.6012103442992458	0.2694822568367383	0.7776874006413974
log-power-n1n2	5	Risky first	7.0	n_safe	vertex	logfrac_star	-0.03478420304699108	-1.1802415959065466	0.41239772856394
log-power-n1n2	6	Risky first	7.0	n_safe	vertex	logfrac_star	0.654461903627537	0.4006392906679716	0.8598203792207164
log-power-n1n2	7	Risky first	7.0	n_safe	vertex	logfrac_star	0.43321386349077906	0.14504160799226712	0.6427522130129599
log-power-n1n2	9	Risky first	7.0	n_safe	vertex	logfrac_star	0.8377146846194499	0.5384195388619426	1.027929407348463
log-power-n1n2	10	Risky first	7.0	n_safe	vertex	logfrac_star	-0.30355103373867187	-3.9517235868360125	0.24040527455269953
log-power-n1n2	11	Risky first	7.0	n_safe	vertex	logfrac_star	0.3158080085141358	0.10122541116380583	0.4666543771187548
log-power-n1n2	18	Risky first	7.0	n_safe	vertex	logfrac_star	0.44555794925639003	0.3497487620951102	0.5307070156320353
log-power-n1n2	19	Risky first	7.0	n_safe	vertex	logfrac_star	0.380368423418488	-1.437401497321672	0.8210060100695007
log-power-n1n2	21	Risky first	7.0	n_safe	vertex	logfrac_star	0.3963136784755046	0.0809625863989421	0.6179646149095508
log-power-n1n2	25	Risky first	7.0	n_safe	vertex	logfrac_star	0.48128255105609985	0.3934182964593971	0.54678543282504
log-power-n1n2	26	Risky first	7.0	n_safe	vertex	logfrac_star	0.4513833387339785	0.3152145076292184	0.5510437672784729
log-power-n1n2	29	Risky first	7.0	n_safe	vertex	logfrac_star	0.6699311468650474	0.394072799515392	0.909124819333127
log-power-n1n2	30	Risky first	7.0	n_safe	vertex	logfrac_star	0.5673908468771689	0.23300236872106378	0.7402559693696866
log-power-n1n2	31	Risky first	7.0	n_safe	vertex	logfrac_star	0.4549471338362777	-0.016508559666324505	0.6187905707587966
log-power-n1n2	34	Risky first	7.0	n_safe	vertex	logfrac_star	0.5535185751944729	0.15091752381216242	0.7362528674466183
log-power-n1n2	35	Risky first	7.0	n_safe	vertex	logfrac_star	1.597957391667917	1.364878598271728	1.8615882555675463
log-power-n1n2	36	Risky first	7.0	n_safe	vertex	logfrac_star	0.5476903134062443	0.3319890425738471	0.6792704641249884
log-power-n1n2	37	Risky first	7.0	n_safe	vertex	logfrac_star	0.451936522404416	0.25128085624421115	0.5842608398149858
log-power-n1n2	45	Risky first	7.0	n_safe	vertex	logfrac_star	0.8391215667143833	0.6445969629783924	0.9897033561788585
log-power-n1n2	46	Risky first	7.0	n_safe	vertex	logfrac_star	0.7076470660003443	0.49984777697591876	0.9057213130794974
log-power-n1n2	47	Risky first	7.0	n_safe	vertex	logfrac_star	0.1943458041183141	-0.2451995813811203	0.453153688317491
log-power-n1n2	50	Risky first	7.0	n_safe	vertex	logfrac_star	0.6162955216448927	0.17649345704828592	0.7694865125074752
log-power-n1n2	53	Risky first	7.0	n_safe	vertex	logfrac_star	0.5286132759965962	0.12581046794301035	0.7168390845146483
log-power-n1n2	56	Risky first	7.0	n_safe	vertex	logfrac_star	0.4513903709340329	0.04936229917550632	0.6181407416750772
log-power-n1n2	59	Risky first	7.0	n_safe	vertex	logfrac_star	0.7872300554581606	0.6676222659498947	0.9290515272172689
log-power-n1n2	62	Risky first	7.0	n_safe	vertex	logfrac_star	0.3807454479103894	0.08318845110353452	0.5028980972994902
log-power-n1n2	63	Risky first	7.0	n_safe	vertex	logfrac_star	0.4650346038505545	0.2141234863319478	0.5892874073773077
log-power-n1n2	67	Risky first	7.0	n_safe	vertex	logfrac_star	0.4341924270318145	-0.2034054955423296	0.7251540834435948
log-power-n1n2	69	Risky first	7.0	n_safe	vertex	logfrac_star	-0.033027581877064845	-1.0656556445905012	0.28853558464270135
log-power-n1n2	72	Risky first	7.0	n_safe	vertex	logfrac_star	0.5685287076817596	0.4959597567605863	0.6289789505093019
log-power-n1n2	74	Risky first	7.0	n_safe	vertex	logfrac_star	0.8704850462759394	0.44709477981305923	1.432300651215186
log-power-n1n2	1	Risky first	10.0	n_safe	ips	slope	3.3634436853559557	2.389363956656459	4.429724643770805
log-power-n1n2	2	Risky first	10.0	n_safe	ips	slope	1.7169858815287542	1.1696218211101037	2.3576831019824187
log-power-n1n2	3	Risky first	10.0	n_safe	ips	slope	4.0236125399232705	2.9350818505246203	5.379022079313963
log-power-n1n2	4	Risky first	10.0	n_safe	ips	slope	2.041335641975766	1.2433425404889573	2.8779686207323856
log-power-n1n2	5	Risky first	10.0	n_safe	ips	slope	2.398682798204635	1.3882375219704723	3.4477954973627876
log-power-n1n2	6	Risky first	10.0	n_safe	ips	slope	2.381668723717912	1.6547705486668451	3.2268551957286378
log-power-n1n2	7	Risky first	10.0	n_safe	ips	slope	1.8057212622345964	1.0668757764002554	2.5871096853180915
log-power-n1n2	9	Risky first	10.0	n_safe	ips	slope	2.655959257964001	1.3291913402352047	4.220298513651587
log-power-n1n2	10	Risky first	10.0	n_safe	ips	slope	2.239493028161355	1.3055123610254413	3.2436754745107717
log-power-n1n2	11	Risky first	10.0	n_safe	ips	slope	3.536033921847469	2.6756808973797597	4.5941549214773225
log-power-n1n2	18	Risky first	10.0	n_safe	ips	slope	3.5149258432071737	2.3127616693574384	4.822345707997588
log-power-n1n2	19	Risky first	10.0	n_safe	ips	slope	1.5074958251710133	0.6531769293827887	2.725304600791759
log-power-n1n2	21	Risky first	10.0	n_safe	ips	slope	1.5104555814526144	1.011180600799307	2.048485643631749
log-power-n1n2	25	Risky first	10.0	n_safe	ips	slope	4.026366095800357	2.920813490111029	5.304179207072145
log-power-n1n2	26	Risky first	10.0	n_safe	ips	slope	3.086155143718951	2.3088203364187834	3.893760019027862
log-power-n1n2	29	Risky first	10.0	n_safe	ips	slope	1.9944831496077313	1.1930330476891184	2.8155182502440366
log-power-n1n2	30	Risky first	10.0	n_safe	ips	slope	2.451073487281082	1.4883175588420792	3.4762482129376324
log-power-n1n2	31	Risky first	10.0	n_safe	ips	slope	2.961508564176941	1.8888736418559224	4.069446323759116
log-power-n1n2	34	Risky first	10.0	n_safe	ips	slope	2.185272592323572	1.3359125094150541	3.2148435238712643
log-power-n1n2	35	Risky first	10.0	n_safe	ips	slope	2.8983685319216095	2.0381333071873033	4.072711503091685
log-power-n1n2	36	Risky first	10.0	n_safe	ips	slope	2.9536864031445536	2.108270076452243	3.8036883205678658
log-power-n1n2	37	Risky first	10.0	n_safe	ips	slope	2.7202375592831203	1.8647608468306869	3.622284183679973
log-power-n1n2	45	Risky first	10.0	n_safe	ips	slope	2.3591256247375183	1.4632479121202626	3.3734288643511707
log-power-n1n2	46	Risky first	10.0	n_safe	ips	slope	2.478862631162851	1.724864855670962	3.243748477602599
log-power-n1n2	47	Risky first	10.0	n_safe	ips	slope	2.959827494342538	2.2453219829902915	3.742609994242975
